candidates,party_short,color,list
9,JFS,#0000FF,FDP
16,GLP,#32CD32,GLP
25,JEVP,#FFA500,EVP
30,Übrige,#888888,Übrige
31,SP,#FF0000,SP
33,Die Mitte,#C56C46,Mitte
41,GLP,#32CD32,GLP
42,Die Mitte,#C56C46,Mitte
44,SVP,#4F7942,SVP
49,JGLP,#32CD32,GLP
58,EVP,#FFA500,EVP
59,JGLP,#32CD32,GLP
67,Grüne,#008000,Grüne
68,JG,#008000,Grüne
74,SVP,#4F7942,SVP
76,PdA,#888888,Übrige
95,GLP,#32CD32,GLP
104,EDU,#00008B,EDU
106,JUSO,#FF0000,SP
109,Übrige,#888888,Übrige
111,GLP,#32CD32,GLP
114,GLP,#32CD32,GLP
117,Übrige,#888888,Übrige
119,SP,#FF0000,SP
120,JSVP,#4F7942,SVP
122,EDU,#00008B,EDU
123,Grüne,#008000,Grüne
124,Die Mitte,#C56C46,Mitte
128,Übrige,#888888,Übrige
132,EDU,#00008B,EDU
133,SP,#FF0000,SP
134,JGLP,#32CD32,GLP
145,JGLP,#32CD32,GLP
148,Grüne,#008000,Grüne
160,EVP,#FFA500,EVP
171,SVP,#4F7942,SVP
172,EDU,#00008B,EDU
174,EDU,#00008B,EDU
179,Die Mitte,#C56C46,Mitte
182,Grüne,#008000,Grüne
185,Übrige,#888888,Übrige
187,SVP,#4F7942,SVP
188,GLP,#32CD32,GLP
189,Parteilos,#888888,Übrige
195,SP,#FF0000,SP
206,SP,#FF0000,SP
211,EVP,#FFA500,EVP
214,SP,#FF0000,SP
216,Übrige,#888888,Übrige
217,SP,#FF0000,SP
221,JUSO,#FF0000,SP
238,JEVP,#FFA500,EVP
252,JFS,#0000FF,FDP
253,Die Mitte,#C56C46,Mitte
257,Übrige,#888888,Übrige
264,EVP,#FFA500,EVP
271,Übrige,#888888,Übrige
277,JSVP,#4F7942,SVP
285,Übrige,#888888,Übrige
292,JSVP,#4F7942,SVP
295,SP,#FF0000,SP
297,Grüne,#008000,Grüne
299,SP,#FF0000,SP
301,Die Mitte,#C56C46,Mitte
308,JSVP,#4F7942,SVP
313,Grüne,#008000,Grüne
325,Die Mitte,#C56C46,Mitte
331,GLP,#32CD32,GLP
336,JM,#C56C46,Mitte
339,JFS,#0000FF,FDP
340,FDP,#0000FF,FDP
341,JSVP,#4F7942,SVP
342,JGLP,#32CD32,GLP
346,SP,#FF0000,SP
357,JGLP,#32CD32,GLP
368,SVP,#4F7942,SVP
374,FDP,#0000FF,FDP
386,EVP,#FFA500,EVP
388,JM,#C56C46,Mitte
389,Parteilos,#888888,Übrige
391,JG,#008000,Grüne
392,Grüne,#008000,Grüne
395,Übrige,#888888,Übrige
398,GLP,#32CD32,GLP
404,JUSO,#FF0000,SP
406,EVP,#FFA500,EVP
409,GLP,#32CD32,GLP
411,SP,#FF0000,SP
433,SVP,#4F7942,SVP
440,SP,#FF0000,SP
449,Die Mitte,#C56C46,Mitte
450,PdA,#888888,Übrige
458,JUSO,#FF0000,SP
466,Übrige,#888888,Übrige
469,SVP,#4F7942,SVP
480,JM,#C56C46,Mitte
492,Übrige,#888888,Übrige
506,Parteilos,#888888,Übrige
520,JG,#008000,Grüne
521,Die Mitte,#C56C46,Mitte
525,JFS,#0000FF,FDP
535,SP,#FF0000,SP
536,SP,#FF0000,SP
539,Übrige,#888888,Übrige
545,Grüne,#008000,Grüne
557,Parteilos,#888888,Übrige
558,SP,#FF0000,SP
563,Grüne,#008000,Grüne
571,Grüne,#008000,Grüne
572,Übrige,#888888,Übrige
576,Die Mitte,#C56C46,Mitte
596,JSVP,#4F7942,SVP
598,JEVP,#FFA500,EVP
605,SP,#FF0000,SP
614,EVP,#FFA500,EVP
616,JM,#C56C46,Mitte
617,GLP,#32CD32,GLP
625,SP,#FF0000,SP
628,Die Mitte,#C56C46,Mitte
636,JGLP,#32CD32,GLP
637,Die Mitte,#C56C46,Mitte
639,SP,#FF0000,SP
650,Die Mitte,#C56C46,Mitte
668,SP,#FF0000,SP
670,EDU,#00008B,EDU
672,Übrige,#888888,Übrige
674,Grüne,#008000,Grüne
686,JGLP,#32CD32,GLP
690,SVP,#4F7942,SVP
699,Parteilos,#888888,Übrige
701,Die Mitte,#C56C46,Mitte
702,Parteilos,#888888,Übrige
707,PdA,#888888,Übrige
712,Die Mitte,#C56C46,Mitte
715,Die Mitte,#C56C46,Mitte
716,Übrige,#888888,Übrige
731,JUSO,#FF0000,SP
734,Übrige,#888888,Übrige
741,EVP,#FFA500,EVP
749,JM,#C56C46,Mitte
756,SP,#FF0000,SP
760,SP,#FF0000,SP
776,Übrige,#888888,Übrige
780,FDP,#0000FF,FDP
786,Die Mitte,#C56C46,Mitte
795,GLP,#32CD32,GLP
798,Übrige,#888888,Übrige
806,Grüne,#008000,Grüne
810,Grüne,#008000,Grüne
813,Übrige,#888888,Übrige
814,Die Mitte,#C56C46,Mitte
823,JM,#C56C46,Mitte
825,EDU,#00008B,EDU
834,EVP,#FFA500,EVP
835,Übrige,#888888,Übrige
838,Übrige,#888888,Übrige
841,JG,#008000,Grüne
846,Übrige,#888888,Übrige
847,Die Mitte,#C56C46,Mitte
848,SP,#FF0000,SP
857,Die Mitte,#C56C46,Mitte
863,GLP,#32CD32,GLP
873,GLP,#32CD32,GLP
875,GLP,#32CD32,GLP
876,Übrige,#888888,Übrige
880,EVP,#FFA500,EVP
882,Übrige,#888888,Übrige
889,GLP,#32CD32,GLP
900,Die Mitte,#C56C46,Mitte
905,SVP,#4F7942,SVP
911,GLP,#32CD32,GLP
912,SVP,#4F7942,SVP
914,FDP,#0000FF,FDP
915,EDU,#00008B,EDU
918,SP,#FF0000,SP
930,FDP,#0000FF,FDP
939,JEVP,#FFA500,EVP
