,age,gender,pref_party,position,representative
111,43,m,SP,2,False
189,48,m,SP,3,False
240,21,m,GLP,4,False
344,35,m,Andere,4,False
458,30,m,FDP,4,False
533,41,m,GLP,3,False
635,40,m,GLP, ,False
658,47,f,Keine,4,False
749,23,m,Andere,5,False
912,34,m,GLP,3,True
956,29,m,Keine,2,False
1026, , ,GLP, ,True
1090,26,f,SP,1,False
1247,46,m,GLP,3,False
1347,27,m,Mitte,5,True
1432,31,m,SP, ,False
1647, , ,EVP,3,True
1988,47,f,GLP,3,True
2390, , ,Keine,5,False
2428,40,m,FDP,4,True
2443,26,m,Mitte,4,True
2530,29,f,Keine,3,False
2641,41,m,GLP,2,False
3139,41,m,SVP,7,True
3368,34,f,SP,3,False
3393,45,m,GLP, ,False
3442,16, ,Mitte,3,True
3455,18,m,SP,1,False
3613,20,m,SVP,6,True
3662,38,m,GLP,3,False
3664,45,f,SP,1,False
3680,40,x,SVP,6,True
3775,53,m,GLP,4,False
3777,18,m,AL,1,False
3789,56,m,GLP, ,False
3954,37,m,GLP,3,False
4050,34,m,SP,2,False
4137,59,m,GLP,3,False
4166,31,m,Grüne,2,False
4245,33,m,SP,2,False
4466,26,m,SP,1,False
4476,33,f,Grüne,3,True
5042,34,m,SP,2,True
5212,26,m,GLP,4,False
5277,35,m,SP,1,True
5280,62,m,Keine,5,False
5422,26,m,Keine,5,False
5461,26,m,SP,1,True
5465,19,m,Lega,7,False
5536, ,m,Grüne,2,False
5899,66,m,SVP,6,True
6353,33,m,Grüne,3,False
6449,57,f,Grüne,2,False
6967,19,m,GLP,2,False
7071,53,m,Mitte,5,False
7099, , ,GLP,5,False
7164,45,m,Andere,4,False
7255,35,m,SP,2,True
7392,30,m,GLP,3,False
7444,28,m,Keine,2,False
7643,45,m,GLP,3,False
7704,46,m,Keine,5,False
7765,38,f,Grüne,3,False
7967,21,m,SVP,6,True
7985,23,m,Mitte,5,False
8142,34,f,Keine,5,False
8608,59,m,FDP, ,False
8672,39,f,SP,1,False
8777,40,m,Keine,6,False
8820,41,m,AL,1,False
8848,48,m,AL,1,False
9012,46,m,GLP,3,True
9129,37,m,GLP,4,False
9157,65,f,AL,1,False
9193,33,m,SP,2,False
9268,31,m,Mitte,5,False
9297,58,m,Mitte,3,False
9711,34,m,Keine,5,False
9717,38,m,Keine,2,False
9757,53,m,AL,2,False
9797,64,m,Mitte,3,False
9832,42,m,Keine,1,False
9856,29,m,SP,1,False
10160,56,m,SVP,6,True
10323,38,m,SP,2,False
10375,58,m,SVP,6,True
10405,41,m,SP,3,False
10450,36,f,Keine,2,False
10560,27,m,FDP,6,True
10641,33,m,SP,1,False
11093,35,m,Keine,3,False
11202,52,m,GLP,2,False
11314,58,m,GLP,3,False
11316,31,f,SP,3,False
11329,39,m,Keine,5,False
11386,59,m,Mitte,5,False
11683,29,m,Keine,4,False
11697,29,m,Mitte,5,False
11875,55,m,Keine,3,False
11882,26,m,Keine,4,False
11992,51,m,Grüne,2,False
12028,49,m,GLP,2,False
12180,60,m,FDP,6,False
12206,19,m,SVP,7,True
12211,56,f,SP,5,False
12215,28,f,SP,2,False
12232,48,m,Keine,3,False
12292,32,m,EVP,3,False
12453,49,m,SVP,4,True
12752,38,f,SP,1,True
12817,25,m,GLP,3,False
12824,39,m,GLP,7,True
12853,36,m,EVP,3,True
13123,32,f,SP,2,False
13478,29,m,GLP,3,False
13530,34,f,SP,2,False
13578,36,m,Keine,3,False
13727,34,m,FDP,5,False
13791, , ,EVP,5,True
13807,25,f,SP,1,False
14005,22,m,SP,1,False
14251,53,m,GLP,3,False
14528,19,m,FDP,5,False
15127, , ,SVP,7,True
15191,38,m,GLP, ,False
15332,45,m,Grüne,1,False
15399,30,f,SP,1,True
15515,28,none,Keine,6,False
15709,37,m,Keine,3,False
15744,29,f,Keine, ,False
15789,43,m,Keine,4,False
15798,21,m,GLP,4,False
15984,42,m,GLP,3,False
15987,52,m,Keine,5,False
16136,26,m,SP,2,False
16348,21,f,Keine,4,False
16494,53,f,Keine,3,False
16584,25,f,GLP,6,True
16645, , ,Keine,4,False
16666,40,m,Grüne,2,True
17215,29,m,SVP,5,True
17371,76,m,Keine,4,False
17409,80,m,SP,1,False
17466,40,m,SP,2,False
17872,52,f,SP,3,False
18178,39,f,Keine,2,False
18181,52,m,Keine,3,False
18253,68,m,Keine,3,False
18268,28,f,SP,2,False
18425,60,m,Keine,3,False
18433,51,f,SVP,6,True
18465,34,m,Mitte,5,False
18494,43,m,GLP, ,False
18528,17,f,SVP,7,True
18572,64,f,GLP,4,False
18681,41,f,FDP,5,True
18711,60,f,Keine,3,False
18847,55,f,GLP,5,False
18963,28,f,SP,1,True
18973, ,m,FDP,5,False
18990,25,m,GLP, ,False
18998, , ,Mitte,4,False
19114,21,f,EVP,3,False
19189,32,m,SP,2,False
19274,74,m,SVP,6,True
19277, , ,GLP, ,False
19581,36,m,Keine,2,False
19626,46,m,GLP,5,False
19663,44,m,FDP,4,False
19775,60,f,FDP,5,True
19823, , ,SP,2,False
20276,18,m,SP,1,False
20505,71,m,Keine,5,False
20702,63,f,Andere,4,False
21102,41,m,GLP,2,False
21163,43,m,GLP,4,False
21475,60,m,FDP,4,False
21517,28,m,FDP,5,False
21526,46,m,GLP,4,False
21584,43,m,Keine,4,False
21631,22,f,GLP,2,False
21708,24, ,GLP,4,False
21847,28,m,SVP,6,True
22021,27,m,Keine,6,False
22080,43,m,FDP,6,False
22329,29,f,Keine, ,False
22947,25,f,Keine,2,False
23117,56,f,Keine,3,False
23318, ,m,GLP,3,False
23509,45,m,Keine,4,False
23547,37,m,Mitte,3,False
23556,37,m,SVP,5,True
23597,35,m,Keine,5,False
23726, , ,GLP,3,False
24117,19,m,Keine,3,False
24307,30,m,SP,1,False
24314,31,m,Keine,6,False
24328,26,m,FDP,5,False
24422,57,f,SP,2,False
24537, , ,FDP,5,True
24653,953,m,AL,3,False
24668,60,m,FDP,6,False
24880,40,m,GLP,3,False
25072,29,m,SP,2,False
25312,940,f,Mitte,4,False
25525,31,m,GLP,3,False
25605,41,m,SP,2,False
25622,77,m,FDP,6,False
25768,24,m,GLP, ,False
25801,31,f,Keine,2,False
25806,58,m,SP,2,False
25848,63,f,Grüne,2,True
26271,28,f,Grüne,2,False
26343,32,f,SP,2,False
26348,66,m,Mitte,5,False
26732,21,f,SP,2,False
26813,45,m,GLP,4,False
27037, , ,FDP,6,False
27166,27,m,GLP,5,False
27184,29,m,GLP,2,False
27213,24,m,Keine,3,False
27231,36,m,Keine,6,False
27287,29,m,Keine,3,False
27342,54,m,GLP,3,False
27466,43,m,FDP,5,False
27864,32,m,Keine,5,False
27980,41,m,SP,1,True
28052,38,m,GLP,6,False
28132,34,m,Keine,5,False
28147,43,m,GLP,3,True
28234,29,m,Mitte,4,True
28432,38,m,GLP,4,False
28529,27,m,Keine,2,False
28560,20,m,FDP,5,False
28746,29,m,GLP,3,False
28817,41,m,Andere,5,False
28855,34,f,Keine,1,False
28895,39,m,Mitte,3,False
28917,68,m,SP,2,False
29012,35,m,SVP,6,True
