,User,RMSE,CRA,ModelVersion,TimeStamp,Queries
0,1166682,0.3435906176006926,0.2777777777777778,0,2024-09-26 10:21:16.210514,"['32219', '32231', '32240', '32244', '32248', '32262', '32266', '32270', '32281', '32286']"
1,1418787,0.3369496030859484,0.4166666666666667,0,2024-09-26 10:21:16.317185,"['32215', '32222', '32225', '32226', '32239', '32248', '32253', '32266', '32274', '32281']"
2,1270751,0.3539451834430318,0.05555555555555555,0,2024-09-26 10:21:16.420111,"['32228', '32231', '32238', '32240', '32242', '32247', '32248', '32253', '32270', '32286']"
3,1244101,0.3499122475209113,0.1111111111111111,0,2024-09-26 10:21:16.521980,"['32214', '32215', '32226', '32238', '32248', '32253', '32261', '32264', '32274', '32276']"
4,1580874,0.34504737351755466,0.5277777777777778,0,2024-09-26 10:21:16.625921,"['32230', '32241', '32244', '32248', '32252', '32254', '32255', '32266', '32281', '32285']"
5,1249683,0.3454076579351222,0.05555555555555555,5,2024-09-26 10:21:16.880582,"['32215', '32223', '32225', '32226', '32240', '32248', '32253', '32266', '32269', '32288']"
6,897289,0.3533779655446089,0.3611111111111111,5,2024-09-26 10:21:16.983411,"['32214', '32225', '32236', '32239', '32261', '32269', '32270', '32274', '32276', '32281']"
7,871097,0.3329040160383292,0.5833333333333334,5,2024-09-26 10:21:17.086479,"['32217', '32226', '32256', '32257', '32261', '32269', '32271', '32274', '32280', '32284']"
8,854755,0.4056935106838276,0.1111111111111111,5,2024-09-26 10:21:17.190663,"['32238', '32242', '32243', '32253', '32255', '32266', '32269', '32275', '32283', '32288']"
9,223069,0.39059527078261713,0.1388888888888889,5,2024-09-26 10:21:17.293784,"['32217', '32219', '32240', '32242', '32248', '32264', '32269', '32283', '32287', '32288']"
10,1538148,0.39461108970588027,0.3888888888888889,10,2024-09-26 10:21:17.547560,"['32217', '32219', '32222', '32223', '32229', '32239', '32252', '32256', '32260', '32284']"
11,840825,0.38398401670385957,0.027777777777777776,10,2024-09-26 10:21:17.650102,"['32217', '32219', '32222', '32225', '32239', '32253', '32254', '32271', '32279', '32280']"
12,1501202,0.2771535750843591,0.16666666666666666,10,2024-09-26 10:21:17.753626,"['32225', '32228', '32239', '32247', '32251', '32253', '32261', '32270', '32283', '32286']"
13,1516662,0.2816613454381412,0.19444444444444445,10,2024-09-26 10:21:17.857114,"['32225', '32239', '32242', '32246', '32247', '32248', '32261', '32270', '32283', '32286']"
14,1316971,0.3467774942619339,0.16666666666666666,10,2024-09-26 10:21:17.963450,"['32217', '32218', '32225', '32226', '32239', '32253', '32269', '32276', '32283', '32287']"
15,955633,0.2765149670617949,0.19444444444444445,15,2024-09-26 10:21:18.247614,"['32243', '32248', '32251', '32261', '32263', '32275', '32276', '32281', '32283', '32286']"
16,1373568,0.4023752924244845,0.05555555555555555,15,2024-09-26 10:21:18.358094,"['32236', '32239', '32248', '32253', '32265', '32269', '32276', '32281', '32287', '32288']"
17,628868,0.2588056362375923,0.3055555555555556,15,2024-09-26 10:21:18.464850,"['32238', '32239', '32247', '32248', '32251', '32263', '32265', '32266', '32281', '32286']"
18,1289589,0.3467522155730887,0.1388888888888889,15,2024-09-26 10:21:18.572231,"['32223', '32230', '32249', '32255', '32256', '32259', '32273', '32279', '32280', '32281']"
19,1049139,0.25649054617098965,0.5,15,2024-09-26 10:21:18.678723,"['32226', '32238', '32240', '32244', '32248', '32253', '32270', '32281', '32283', '32287']"
20,923437,0.2597119752524404,0.3611111111111111,20,2024-09-26 10:21:18.938255,"['32217', '32238', '32246', '32247', '32248', '32251', '32253', '32270', '32275', '32287']"
21,1014493,0.28686219797627094,0.2777777777777778,20,2024-09-26 10:21:19.044149,"['32224', '32234', '32238', '32242', '32246', '32253', '32263', '32270', '32286', '32287']"
22,1587875,0.361561389732128,0.3611111111111111,20,2024-09-26 10:21:19.149353,"['32214', '32215', '32223', '32225', '32226', '32253', '32265', '32266', '32281', '32288']"
23,1227428,0.2669312977752828,0.3888888888888889,20,2024-09-26 10:21:19.254888,"['32223', '32225', '32240', '32242', '32248', '32253', '32266', '32269', '32283', '32288']"
24,691451,0.3210616420650076,0.19444444444444445,20,2024-09-26 10:21:19.360271,"['32223', '32245', '32246', '32253', '32261', '32269', '32270', '32275', '32286', '32287']"
25,1170714,0.2973169941812127,0.4166666666666667,25,2024-09-26 10:21:19.625659,"['32215', '32218', '32219', '32223', '32225', '32226', '32230', '32248', '32252', '32285']"
26,58188,0.2953103043397155,0.5277777777777778,25,2024-09-26 10:21:19.730818,"['32222', '32223', '32225', '32227', '32248', '32253', '32257', '32265', '32269', '32271']"
27,392808,0.2682204963402779,0.3888888888888889,25,2024-09-26 10:21:19.834800,"['32224', '32225', '32242', '32245', '32248', '32263', '32266', '32276', '32283', '32286']"
28,1418957,0.3105257884872446,0.027777777777777776,25,2024-09-26 10:21:19.942862,"['32218', '32225', '32239', '32240', '32245', '32248', '32249', '32264', '32276', '32283']"
29,215996,0.27477779057387536,0.2222222222222222,25,2024-09-26 10:21:20.053445,"['32224', '32225', '32234', '32238', '32247', '32270', '32276', '32283', '32286', '32287']"
30,1573481,0.35591037843689133,0.0,30,2024-09-26 10:21:20.342108,"['32223', '32230', '32239', '32261', '32263', '32264', '32269', '32275', '32287', '32288']"
31,237990,0.2890322970740866,0.2222222222222222,30,2024-09-26 10:21:20.453995,"['32214', '32224', '32242', '32246', '32261', '32263', '32265', '32266', '32269', '32270']"
32,1251001,0.34786396945759324,0.027777777777777776,30,2024-09-26 10:21:20.565150,"['32239', '32244', '32246', '32247', '32251', '32263', '32264', '32266', '32269', '32281']"
33,723628,0.2931861608455957,0.4722222222222222,30,2024-09-26 10:21:20.678226,"['32239', '32244', '32255', '32257', '32260', '32266', '32269', '32279', '32284', '32285']"
34,1384101,0.2735342009478705,0.2222222222222222,30,2024-09-26 10:21:20.782900,"['32222', '32229', '32244', '32252', '32254', '32260', '32269', '32271', '32279', '32280']"
35,1625577,0.42410470577348697,0.08333333333333333,35,2024-09-26 10:21:21.042313,"['32231', '32238', '32239', '32246', '32247', '32263', '32264', '32269', '32283', '32288']"
36,1350484,0.27983575203020966,0.3888888888888889,35,2024-09-26 10:21:21.145633,"['32219', '32222', '32225', '32236', '32244', '32249', '32261', '32266', '32269', '32276']"
37,877052,0.27992509583701947,0.05555555555555555,35,2024-09-26 10:21:21.251866,"['32217', '32246', '32251', '32265', '32269', '32270', '32275', '32286', '32287', '32288']"
38,450046,0.35128579755632044,0.1388888888888889,35,2024-09-26 10:21:21.354453,"['32224', '32225', '32238', '32239', '32247', '32263', '32264', '32269', '32287', '32288']"
