,User,RMSE,CRA,ModelVersion,TimeStamp,Queries,Neighbors,Predictions
0,374831,0.224,0.611,0,2025-02-23 09:01:15.797169,"['32214', '32217', '32220', '32221', '32224', '32225', '32228', '32231', '32234', '32236', '32240', '32242', '32243', '32245', '32246', '32247', '32248', '32251', '32262', '32263', '32265', '32266', '32269', '32270', '32274', '32275', '32283', '32286', '32287', '32288']","[342, 3255, 2843, 3084, 5522, 2668, 4396, 981, 4710, 3063, 1666, 4725, 1538, 5256, 2367, 1290, 5065, 295, 4184, 5459, 1316, 2072, 1505, 5594, 5801, 49, 5692, 5812, 3706, 3474, 2568, 3151, 1942, 1164, 2664, 1611]","[0.75, 0.83, 0.76, 0.25, 0.89, 0.81, 0.25, 1.0, 0.25, 0.19, 0.75, 0.75, 0.31, 0.9, 1.0, 0.79, 0.11, 1.0, 0.79, 0.7, 1.0, 0.91, 0.0, 0.79, 0.72, 0.75, 1.0, 0.92, 0.75, 0.75, 0.86, 0.25, 0.25, 1.0, 1.0, 0.11, 0.85, 1.0, 0.24, 0.81, 0.83, 0.87, 0.84, 0.94, 0.81, 0.83, 0.89, 0.19, 1.0, 0.75, 0.26, 0.75, 0.0, 0.8, 0.04, 1.0, 0.75, 0.93, 0.03, 0.1, 0.33, 0.0, 0.74, 0.16, 0.69, 0.21, 0.83, 0.7, 0.78, 0.25, 0.8, 0.26, 0.5, 0.0, 0.75]"
1,60370,0.364,0.361,0,2025-02-23 09:01:16.093439,"['32214', '32215', '32217', '32218', '32219', '32222', '32223', '32225', '32226', '32230', '32233', '32239', '32244', '32248', '32249', '32252', '32254', '32255', '32256', '32259', '32261', '32271', '32273', '32276', '32279', '32280', '32281', '32283', '32284', '32285']","[2586, 4319, 4033, 930, 4119, 5760, 1331, 5655, 2609, 2547, 3052, 4226, 4883, 5675, 2762, 5385, 2910, 277, 4003, 2378, 882, 1929, 4988, 253, 650, 3998, 3885, 3158, 3720, 1770, 557, 449, 1740, 5899, 5915, 2948]","[0.0, 0.75, 0.7, 1.0, 0.0, 0.0, 0.16, 0.21, 1.0, 0.25, 0.32, 1.0, 1.0, 0.67, 0.15, 0.59, 0.25, 0.22, 0.63, 1.0, 0.16, 0.76, 0.66, 0.71, 0.2, 0.75, 0.19, 0.59, 0.75, 0.83, 1.0, 0.8, 0.17, 0.83, 0.75, 1.0, 0.67, 0.29, 0.75, 0.41, 0.25, 0.25, 0.75, 0.62, 0.8, 0.25, 0.54, 1.0, 0.14, 0.66, 0.69, 0.46, 0.49, 0.67, 0.27, 0.45, 0.74, 0.25, 0.25, 0.0, 0.49, 0.84, 0.0, 0.36, 0.72, 1.0, 0.67, 0.0, 0.64, 0.75, 0.75, 0.75, 0.56, 0.65, 0.36]"
2,683779,0.308,0.472,0,2025-02-23 09:01:16.384948,"['32214', '32219', '32222', '32224', '32225', '32226', '32228', '32231', '32234', '32236', '32238', '32239', '32240', '32245', '32246', '32247', '32248', '32251', '32261', '32262', '32263', '32264', '32265', '32266', '32274', '32276', '32281', '32286', '32287', '32288']","[2058, 3052, 1176, 1359, 4520, 2943, 5248, 4890, 4455, 4640, 712, 1822, 2664, 5199, 3500, 2761, 2498, 5594, 4345, 4062, 480, 2465, 857, 3249, 1433, 5692, 628, 114, 1612, 3285, 2112, 749, 3665, 2948, 3961, 4322]","[1.0, 0.69, 0.72, 0.6, 0.78, 0.75, 0.28, 0.36, 0.0, 0.24, 0.0, 0.25, 0.0, 0.84, 0.0, 0.76, 0.19, 0.75, 0.77, 0.71, 1.0, 0.91, 0.25, 0.78, 0.75, 0.0, 0.0, 0.83, 0.6, 0.74, 0.73, 0.75, 0.75, 0.25, 1.0, 0.23, 0.78, 0.75, 0.31, 0.72, 0.74, 0.76, 0.73, 0.88, 0.86, 0.8, 0.8, 0.0, 0.75, 0.25, 0.75, 0.75, 0.75, 0.75, 0.05, 0.79, 0.66, 0.85, 0.05, 0.11, 1.0, 0.68, 0.83, 0.18, 0.74, 0.28, 0.72, 0.75, 0.74, 0.39, 0.71, 0.33, 1.0, 0.75, 0.5]"
3,65021,0.228,0.556,0,2025-02-23 09:01:16.659543,"['32220', '32221', '32224', '32225', '32226', '32228', '32233', '32234', '32242', '32243', '32245', '32247', '32248', '32251', '32258', '32262', '32263', '32264', '32265', '32266', '32269', '32270', '32274', '32275', '32278', '32281', '32283', '32286', '32287', '32288']","[3310, 1164, 5290, 3273, 806, 1856, 3064, 2246, 4807, 5134, 668, 5402, 535, 2072, 214, 3188, 4639, 4371, 3080, 950, 674, 5256, 1266, 391, 5459, 4444, 5747, 5027, 1395, 4504, 5696, 598, 2278, 133, 756, 4396]","[0.22, 0.89, 0.79, 0.23, 0.92, 0.9, 0.0, 0.25, 0.16, 0.21, 0.75, 1.0, 0.75, 0.92, 0.25, 0.77, 0.09, 0.79, 0.77, 1.0, 1.0, 0.88, 0.17, 0.78, 0.81, 0.82, 0.8, 0.95, 0.0, 0.0, 0.91, 0.0, 0.77, 0.25, 0.25, 0.08, 0.88, 0.75, 0.21, 0.83, 0.87, 0.89, 0.88, 0.96, 0.75, 0.8, 0.92, 0.19, 0.75, 0.25, 0.0, 0.75, 0.75, 0.82, 0.05, 0.75, 0.0, 0.96, 0.05, 0.14, 0.83, 0.0, 0.81, 0.19, 0.67, 0.18, 0.87, 0.75, 0.81, 0.5, 0.84, 0.23, 0.5, 0.25, 1.0]"
4,1085933,0.264,0.472,0,2025-02-23 09:01:16.928974,"['32220', '32221', '32224', '32225', '32226', '32228', '32233', '32234', '32236', '32238', '32242', '32243', '32246', '32247', '32248', '32251', '32258', '32262', '32263', '32265', '32266', '32269', '32270', '32274', '32275', '32278', '32283', '32286', '32287', '32288']","[2668, 1164, 3255, 5459, 3063, 2072, 5245, 756, 4396, 391, 3593, 3263, 5256, 206, 3310, 2270, 5075, 598, 5742, 5402, 3406, 1293, 4725, 3084, 4459, 5801, 2339, 2498, 2754, 3188, 2246, 1242, 4000, 5744, 5692, 148]","[0.24, 0.85, 0.78, 0.25, 0.89, 0.86, 0.25, 1.0, 0.19, 0.25, 1.0, 0.75, 0.75, 0.9, 0.75, 0.74, 0.13, 0.72, 0.74, 1.0, 1.0, 0.86, 0.0, 0.77, 0.75, 0.77, 0.74, 0.93, 0.0, 1.0, 0.87, 0.29, 1.0, 0.0, 1.0, 0.12, 0.86, 0.75, 0.24, 0.78, 0.83, 0.86, 0.85, 0.94, 0.75, 0.75, 0.89, 0.26, 0.0, 0.25, 0.27, 0.25, 0.0, 0.81, 0.08, 0.75, 0.25, 0.94, 0.06, 0.19, 0.67, 0.17, 0.76, 0.22, 0.83, 0.22, 0.83, 0.72, 0.79, 0.25, 0.81, 0.26, 0.5, 0.25, 0.5]"
5,1348327,0.264,0.389,5,2025-02-23 09:01:17.298105,"['32214', '32217', '32220', '32221', '32224', '32225', '32228', '32231', '32234', '32240', '32242', '32243', '32245', '32247', '32248', '32251', '32262', '32263', '32265', '32269', '32270', '32274', '32275', '32276', '32278', '32281', '32283', '32286', '32287', '32288']","[342, 3450, 3255, 3608, 1538, 5256, 1196, 5594, 5692, 4702, 67, 5460, 2668, 981, 5402, 214, 3029, 2498, 3675, 5173, 1919, 4617, 4396, 5778, 1164, 3161, 5065, 598, 3474, 4725, 5806, 3084, 3932, 2465, 756, 668]","[1.0, 0.86, 0.74, 0.0, 0.92, 0.81, 1.0, 1.0, 0.27, 0.13, 1.0, 1.0, 0.26, 0.9, 0.25, 0.81, 0.1, 1.0, 0.82, 0.74, 1.0, 0.94, 0.18, 0.8, 0.76, 0.78, 1.0, 0.92, 1.0, 1.0, 0.86, 0.0, 0.81, 0.0, 1.0, 0.09, 0.87, 0.75, 0.22, 0.82, 0.87, 0.89, 0.87, 0.93, 0.86, 0.85, 0.91, 0.14, 1.0, 1.0, 0.24, 1.0, 0.78, 0.79, 0.02, 1.0, 0.0, 0.95, 0.02, 0.07, 0.0, 0.67, 0.83, 0.13, 0.83, 0.19, 0.88, 0.75, 0.81, 0.75, 0.8, 0.22, 0.5, 0.5, 0.5]"
6,802728,0.376,0.278,5,2025-02-23 09:01:17.548468,"['32215', '32217', '32218', '32219', '32223', '32225', '32226', '32230', '32236', '32239', '32242', '32244', '32248', '32249', '32252', '32253', '32254', '32255', '32259', '32263', '32269', '32273', '32274', '32276', '32280', '32281', '32283', '32286', '32287', '32288']","[5195, 3703, 539, 3052, 3326, 4600, 4846, 4003, 4033, 4226, 2840, 557, 2378, 5758, 2050, 4723, 506, 216, 4065, 4455, 3094, 835, 637, 838, 823, 2740, 889, 2847, 5782, 5614, 5760, 3285, 5465, 117, 4622, 3720]","[0.4, 0.25, 0.74, 0.0, 0.75, 0.75, 0.22, 0.3, 0.37, 0.25, 0.39, 0.25, 0.75, 0.75, 0.25, 0.6, 0.75, 0.37, 0.65, 0.6, 0.24, 0.76, 1.0, 0.72, 0.4, 0.75, 0.43, 0.77, 0.75, 0.67, 0.25, 0.67, 0.29, 0.68, 0.75, 1.0, 0.78, 0.35, 0.0, 0.75, 1.0, 1.0, 0.65, 0.75, 0.73, 0.75, 0.7, 0.59, 0.21, 0.0, 0.57, 0.33, 0.42, 0.74, 0.2, 0.25, 0.58, 0.75, 0.19, 0.25, 0.17, 0.64, 0.17, 0.34, 0.69, 0.39, 0.83, 0.75, 0.7, 0.5, 0.64, 0.39, 0.75, 0.5, 0.25]"
7,1003992,0.248,0.694,5,2025-02-23 09:01:17.804039,"['32220', '32221', '32224', '32228', '32229', '32231', '32233', '32234', '32242', '32243', '32246', '32247', '32248', '32249', '32251', '32258', '32259', '32262', '32263', '32265', '32266', '32269', '32273', '32274', '32275', '32278', '32281', '32283', '32286', '32287']","[806, 4459, 1164, 3063, 5696, 3494, 5290, 206, 5245, 4444, 668, 3080, 4965, 4807, 2253, 123, 3255, 2715, 2172, 5134, 313, 2072, 1196, 2341, 133, 1103, 4500, 4703, 2420, 1242, 148, 1273, 2346, 2270, 3758, 3406]","[0.16, 0.9, 0.79, 0.17, 0.9, 0.9, 0.0, 0.75, 0.14, 0.25, 0.0, 0.72, 0.29, 0.89, 1.0, 1.0, 0.15, 0.75, 0.71, 0.0, 0.75, 0.82, 0.2, 0.75, 0.8, 0.8, 0.83, 0.94, 0.0, 0.25, 0.87, 0.29, 1.0, 0.0, 1.0, 0.0, 0.89, 0.75, 0.23, 0.76, 0.86, 0.86, 0.88, 0.93, 0.0, 0.0, 0.9, 0.28, 0.25, 0.25, 0.28, 0.25, 0.75, 0.83, 0.08, 0.25, 0.27, 0.96, 0.08, 0.0, 0.0, 0.33, 0.79, 0.26, 0.67, 0.21, 0.88, 0.75, 0.8, 0.75, 0.8, 0.26, 0.5, 0.25, 0.71]"
8,1341367,0.217,0.5,5,2025-02-23 09:01:18.059158,"['32220', '32221', '32224', '32228', '32231', '32233', '32234', '32242', '32243', '32245', '32246', '32247', '32248', '32251', '32253', '32258', '32262', '32263', '32264', '32265', '32266', '32269', '32270', '32274', '32275', '32278', '32281', '32283', '32286', '32287']","[3255, 3063, 5245, 5301, 4725, 1164, 1750, 1754, 3565, 2160, 3295, 1103, 3572, 4538, 1941, 68, 5157, 5847, 3418, 2661, 5609, 2355, 668, 535, 3312, 4179, 3113, 182, 520, 4858, 2072, 5256, 5134, 2754, 4225, 2246]","[0.16, 0.92, 0.79, 0.17, 0.93, 0.92, 0.75, 0.75, 0.12, 0.2, 0.25, 0.75, 0.26, 0.91, 1.0, 0.73, 0.11, 1.0, 0.74, 1.0, 1.0, 0.85, 0.16, 0.76, 0.85, 0.83, 0.87, 0.95, 0.0, 0.25, 0.9, 0.0, 0.0, 0.0, 0.75, 0.1, 0.9, 0.75, 0.2, 0.75, 0.88, 0.9, 0.9, 0.95, 1.0, 0.74, 0.92, 0.22, 1.0, 1.0, 0.0, 0.0, 0.25, 0.83, 0.06, 0.25, 0.25, 0.97, 0.06, 0.21, 0.0, 0.0, 0.83, 0.23, 0.67, 0.19, 0.9, 1.0, 0.81, 0.0, 0.82, 0.24, 0.0, 0.0, 0.75]"
9,876748,0.314,0.389,5,2025-02-23 09:01:18.315969,"['32214', '32216', '32217', '32220', '32221', '32222', '32224', '32225', '32226', '32231', '32233', '32234', '32240', '32242', '32243', '32247', '32248', '32251', '32263', '32265', '32269', '32270', '32274', '32275', '32278', '32281', '32283', '32286', '32287', '32288']","[3450, 5065, 3255, 1098, 5778, 1538, 342, 756, 605, 2843, 2044, 5256, 5245, 3029, 3113, 3474, 4184, 3376, 67, 981, 1754, 598, 295, 1293, 4396, 5027, 5402, 2367, 3084, 5708, 5594, 1196, 3063, 5692, 5460, 1164]","[1.0, 0.86, 1.0, 0.0, 0.92, 0.81, 1.0, 1.0, 0.0, 0.12, 1.0, 0.75, 1.0, 0.91, 0.75, 0.82, 0.09, 1.0, 0.83, 1.0, 1.0, 0.94, 0.17, 0.81, 0.77, 0.78, 1.0, 0.92, 0.75, 0.75, 0.87, 0.21, 0.82, 0.25, 1.0, 0.08, 0.87, 0.75, 0.22, 0.83, 0.87, 0.89, 0.87, 0.93, 0.87, 0.87, 0.91, 0.13, 0.78, 0.75, 0.23, 1.0, 0.81, 0.79, 0.02, 1.0, 1.0, 0.95, 0.02, 0.06, 0.0, 0.0, 0.77, 0.12, 1.0, 0.19, 0.89, 0.75, 0.81, 0.0, 0.8, 0.22, 0.25, 0.0, 0.75]"
