,User,RMSE,CRA,ModelVersion,TimeStamp,Queries
0,1404090,0.4093839760868326,0.3055555555555556,0,2024-10-08 16:19:05.830957,"['32218', '32219', '32221', '32231', '32242', '32245', '32251', '32252', '32258', '32264', '32274', '32275', '32277', '32282', '32283']"
1,864295,0.41254537324010565,0.2777777777777778,0,2024-10-08 16:19:05.966556,"['32218', '32219', '32221', '32228', '32231', '32245', '32252', '32264', '32267', '32268', '32274', '32275', '32277', '32282', '32283']"
2,1104919,0.3999242595193429,0.05555555555555555,0,2024-10-08 16:19:06.101335,"['32216', '32218', '32219', '32221', '32228', '32231', '32252', '32258', '32264', '32268', '32274', '32275', '32277', '32282', '32283']"
3,1017408,0.4651099147344554,0.08333333333333333,0,2024-10-08 16:19:06.237817,"['32216', '32218', '32219', '32221', '32228', '32231', '32245', '32258', '32264', '32268', '32274', '32275', '32277', '32282', '32283']"
4,1257626,0.3837637465110708,0.3611111111111111,0,2024-10-08 16:19:06.386831,"['32218', '32219', '32221', '32228', '32231', '32251', '32252', '32258', '32264', '32268', '32274', '32275', '32277', '32282', '32283']"
5,819228,0.4327923867511682,0.1388888888888889,5,2024-10-08 16:19:06.572010,"['32215', '32218', '32237', '32242', '32243', '32250', '32251', '32255', '32257', '32266', '32273', '32274', '32276', '32279', '32281']"
6,376107,0.42222975589423234,0.19444444444444445,5,2024-10-08 16:19:06.709322,"['32215', '32218', '32237', '32242', '32243', '32250', '32251', '32255', '32266', '32270', '32273', '32274', '32276', '32279', '32281']"
7,502001,0.4828802988773081,0.05555555555555555,5,2024-10-08 16:19:06.845224,"['32215', '32218', '32223', '32237', '32243', '32247', '32250', '32251', '32255', '32257', '32266', '32270', '32273', '32276', '32279']"
8,638810,0.3961711971129247,0.05555555555555555,5,2024-10-08 16:19:06.979869,"['32215', '32218', '32221', '32237', '32242', '32243', '32250', '32251', '32255', '32270', '32273', '32274', '32276', '32279', '32281']"
9,1181404,0.4769679390326255,0.0,5,2024-10-08 16:19:07.115412,"['32215', '32218', '32222', '32237', '32242', '32243', '32250', '32251', '32255', '32266', '32273', '32274', '32276', '32279', '32281']"
10,744858,0.44711267673101024,0.08333333333333333,10,2024-10-08 16:19:07.310004,"['32218', '32221', '32224', '32226', '32230', '32232', '32236', '32249', '32256', '32257', '32258', '32268', '32269', '32278', '32283']"
11,418866,0.4447221808999175,0.0,10,2024-10-08 16:19:07.444692,"['32218', '32221', '32224', '32226', '32232', '32233', '32236', '32249', '32256', '32257', '32258', '32268', '32269', '32272', '32283']"
12,1373738,0.4064675270185369,0.2222222222222222,10,2024-10-08 16:19:07.579182,"['32218', '32221', '32222', '32224', '32230', '32232', '32240', '32242', '32256', '32257', '32258', '32268', '32271', '32278', '32283']"
13,867129,0.4485944239748673,0.027777777777777776,10,2024-10-08 16:19:07.714930,"['32218', '32221', '32222', '32226', '32227', '32230', '32233', '32236', '32249', '32256', '32257', '32258', '32268', '32269', '32272']"
14,15515,0.45255809706694716,0.2222222222222222,10,2024-10-08 16:19:07.855035,"['32218', '32221', '32224', '32226', '32227', '32232', '32233', '32236', '32242', '32249', '32256', '32258', '32268', '32269', '32272']"
15,874406,0.42675642186129475,0.1111111111111111,15,2024-10-08 16:19:08.048878,"['32218', '32221', '32228', '32235', '32237', '32238', '32240', '32244', '32248', '32251', '32262', '32273', '32275', '32276', '32288']"
16,1644914,0.3819067937007045,0.4722222222222222,15,2024-10-08 16:19:08.183521,"['32218', '32221', '32235', '32237', '32238', '32240', '32243', '32244', '32248', '32251', '32254', '32267', '32286', '32287', '32288']"
17,87007,0.48734202946116856,0.1388888888888889,15,2024-10-08 16:19:08.320212,"['32221', '32228', '32235', '32237', '32240', '32244', '32248', '32251', '32254', '32262', '32267', '32280', '32286', '32287', '32288']"
18,591198,0.5055713305747009,0.19444444444444445,15,2024-10-08 16:19:08.454711,"['32218', '32221', '32224', '32232', '32237', '32238', '32243', '32248', '32249', '32251', '32257', '32267', '32286', '32287', '32288']"
