,User,RMSE,CRA,ModelVersion,TimeStamp,Queries,Neighbors,Predictions
0,1025142,0.467,0.056,0,2025-02-22 12:38:59.312980,"['32221', '32222', '32223', '32224', '32230', '32234', '32242', '32243', '32248', '32250', '32253', '32259', '32261', '32262', '32268', '32275', '32282', '32283', '32285', '32288']","[823, 4119, 4723, 5760, 3703, 882, 5782, 2586, 4033, 2096, 3819, 5541, 506, 990, 1822, 4846, 4003, 3326, 4322, 5195, 2840, 557, 539, 2744, 637, 1596, 4600, 838, 5658, 3052, 271, 3158, 1761, 1396, 741, 3982]","[0.87, 0.4, 0.28, 0.64, 0.24, 0.7, 0.65, 0.25, 0.75, 0.25, 0.0, 0.59, 0.72, 0.92, 0.4, 0.38, 0.0, 0.73, 0.14, 0.64, 0.0, 0.6, 0.63, 0.83, 0.79, 0.91, 0.7, 0.17, 0.75, 0.75, 0.11, 0.37, 0.8, 0.71, 0.75, 0.78, 0.25, 0.25, 0.18, 0.75, 0.25, 0.69, 0.64, 0.3, 0.64, 0.25, 0.24, 0.75, 0.0, 0.39, 0.38, 0.6, 0.14, 0.81, 0.0, 0.33, 0.6, 0.66, 0.79, 0.61, 0.37, 1.0, 0.82, 0.65, 0.72, 0.3, 0.22, 0.7, 0.75, 0.5, 0.38, 0.75, 0.59, 0.79, 0.75]"
1,112901,0.464,0.083,0,2025-02-22 12:38:59.494858,"['32221', '32222', '32223', '32224', '32230', '32234', '32242', '32243', '32248', '32250', '32253', '32261', '32262', '32270', '32273', '32275', '32282', '32283', '32285', '32288']","[823, 4723, 3703, 882, 4119, 4846, 3819, 838, 1788, 3326, 5782, 5918, 2744, 1761, 557, 2338, 4655, 3035, 1396, 271, 2586, 5760, 2740, 1072, 238, 835, 2840, 3308, 5072, 539, 1156, 2839, 2096, 5814, 990, 16]","[0.85, 0.4, 0.28, 0.63, 0.23, 0.7, 0.65, 1.0, 0.25, 1.0, 0.0, 0.61, 0.74, 0.92, 0.41, 0.37, 0.75, 0.73, 0.14, 0.63, 0.0, 0.61, 0.62, 0.81, 0.79, 0.91, 0.68, 0.17, 1.0, 1.0, 0.1, 0.36, 0.81, 0.69, 1.0, 0.79, 0.25, 0.25, 0.18, 0.75, 0.24, 0.67, 0.61, 0.33, 0.61, 0.37, 0.23, 1.0, 0.0, 0.38, 0.39, 0.61, 0.14, 0.81, 0.44, 0.33, 1.0, 0.65, 0.77, 1.0, 0.39, 1.0, 0.8, 0.65, 0.71, 0.3, 0.25, 0.7, 0.75, 0.75, 0.39, 0.75, 0.6, 0.78, 0.75]"
2,6967,0.428,0.028,0,2025-02-22 12:38:59.671126,"['32221', '32222', '32223', '32224', '32228', '32230', '32242', '32243', '32248', '32250', '32253', '32261', '32262', '32268', '32270', '32275', '32282', '32283', '32285', '32288']","[4442, 4723, 5692, 5541, 506, 4846, 3326, 539, 4322, 216, 882, 5760, 4119, 823, 3951, 637, 1728, 3285, 3819, 1822, 2050, 5918, 835, 5123, 4033, 4600, 2096, 5195, 1382, 3703, 3406, 5279, 1531, 4003, 3052, 889]","[0.86, 0.4, 0.32, 0.63, 0.27, 0.72, 0.67, 1.0, 0.0, 0.0, 0.0, 0.61, 0.71, 0.92, 0.25, 0.41, 0.25, 0.76, 0.14, 0.63, 0.4, 0.62, 0.61, 0.83, 0.77, 0.91, 0.67, 0.2, 0.75, 0.25, 0.1, 0.32, 0.77, 0.73, 0.75, 0.79, 1.0, 0.23, 0.18, 0.75, 0.23, 0.68, 0.64, 0.31, 0.61, 0.42, 0.29, 0.25, 0.0, 0.38, 0.4, 0.62, 0.15, 0.81, 0.0, 0.29, 0.75, 0.62, 0.8, 0.62, 0.38, 0.33, 0.82, 0.63, 0.73, 0.32, 0.22, 0.65, 1.0, 0.25, 0.39, 0.25, 0.63, 0.81, 0.75]"
3,1139368,0.529,0.0,0,2025-02-22 12:38:59.852903,"['32221', '32222', '32223', '32224', '32228', '32230', '32242', '32243', '32250', '32253', '32258', '32261', '32262', '32268', '32270', '32275', '32282', '32283', '32285', '32288']","[5692, 3285, 4723, 391, 3951, 4322, 1942, 823, 4161, 4846, 3406, 3703, 3883, 835, 4003, 5541, 3077, 5123, 2840, 3326, 2640, 5208, 1382, 4442, 1822, 3263, 117, 2475, 1268, 389, 1728, 5256, 637, 4119, 2096, 712]","[0.81, 0.39, 0.32, 0.62, 0.24, 0.72, 0.67, 1.0, 0.25, 0.0, 1.0, 0.63, 0.75, 0.91, 1.0, 0.38, 0.0, 0.75, 0.15, 0.61, 0.41, 0.62, 0.6, 0.79, 0.76, 0.9, 0.64, 0.19, 0.0, 1.0, 0.09, 0.3, 0.8, 0.7, 0.42, 0.8, 0.25, 0.23, 0.18, 1.0, 0.22, 0.65, 0.58, 0.35, 0.75, 0.36, 0.26, 0.0, 1.0, 0.36, 0.42, 0.64, 0.14, 0.81, 0.0, 0.28, 0.75, 0.61, 0.76, 0.57, 0.41, 0.0, 0.79, 0.63, 0.7, 0.32, 0.27, 0.67, 1.0, 0.75, 0.4, 0.0, 0.64, 0.78, 0.75]"
4,1599739,0.454,0.167,0,2025-02-22 12:39:00.035090,"['32221', '32222', '32223', '32224', '32228', '32230', '32242', '32243', '32248', '32250', '32253', '32261', '32262', '32268', '32270', '32275', '32282', '32283', '32285', '32288']","[823, 4723, 5760, 637, 4119, 5692, 4322, 506, 2840, 990, 4003, 882, 1822, 5541, 539, 4846, 4600, 1728, 835, 5195, 3951, 4442, 3326, 1249, 4796, 3819, 2096, 557, 4033, 3703, 5123, 5319, 391, 5782, 2586, 4672]","[0.84, 0.4, 0.29, 0.63, 0.23, 0.7, 0.65, 1.0, 1.0, 0.0, 0.25, 0.61, 0.74, 0.92, 0.25, 0.37, 0.0, 0.73, 0.14, 0.62, 0.43, 0.61, 0.62, 0.81, 0.78, 0.91, 0.68, 0.17, 0.75, 0.0, 0.1, 0.35, 0.81, 0.69, 0.75, 0.79, 0.0, 0.24, 0.18, 0.25, 0.24, 0.67, 0.61, 0.33, 0.6, 0.37, 0.23, 0.75, 1.0, 0.38, 0.4, 0.62, 0.14, 0.81, 0.0, 0.32, 0.75, 0.64, 0.77, 0.59, 0.39, 0.67, 0.8, 0.65, 0.7, 0.3, 0.25, 0.7, 1.0, 0.5, 0.39, 0.75, 0.61, 0.78, 0.75]"
5,1553304,0.546,0.028,5,2025-02-22 12:39:00.261183,"['32216', '32220', '32230', '32232', '32234', '32236', '32238', '32250', '32252', '32257', '32258', '32260', '32262', '32268', '32272', '32275', '32276', '32281', '32285', '32288']","[3052, 4846, 506, 5760, 3326, 4226, 3720, 2620, 838, 1553, 2505, 2847, 3761, 124, 5758, 211, 557, 1249, 5899, 95, 4062, 539, 1273, 1077, 4033, 2740, 3656, 991, 4520, 5216, 4747, 5544, 2586, 2943, 5918, 3094]","[0.41, 0.71, 1.0, 0.72, 0.7, 0.78, 1.0, 0.82, 0.81, 0.15, 0.23, 0.2, 0.39, 0.87, 0.32, 0.67, 1.0, 0.41, 1.0, 0.22, 0.0, 0.78, 1.0, 0.87, 0.0, 0.31, 0.41, 0.58, 0.57, 0.57, 0.34, 0.59, 0.74, 0.19, 0.74, 0.61, 1.0, 0.61, 1.0, 0.58, 0.84, 0.69, 0.62, 0.0, 1.0, 0.68, 1.0, 0.37, 0.0, 0.59, 0.37, 0.6, 0.32, 0.24, 1.0, 0.69, 0.58, 0.57, 1.0, 0.1, 0.12, 1.0, 0.83, 0.14, 0.73, 0.87, 0.95, 0.25, 0.43, 0.82, 0.23, 1.0, 0.36, 0.59, 0.5]"
6,1152614,0.414,0.222,5,2025-02-22 12:39:00.439243,"['32214', '32216', '32220', '32226', '32230', '32232', '32234', '32236', '32238', '32240', '32241', '32243', '32257', '32258', '32259', '32260', '32262', '32263', '32272', '32281']","[712, 506, 3052, 2943, 5692, 2753, 5758, 5216, 2640, 1553, 211, 2236, 3263, 1359, 5110, 1273, 4846, 1098, 5700, 3406, 4987, 1176, 2761, 2339, 4161, 2620, 2498, 3029, 539, 4520, 5541, 3266, 4622, 5073, 5614, 3665]","[0.25, 0.76, 0.0, 0.77, 0.69, 0.73, 0.75, 0.81, 0.81, 0.16, 0.21, 0.18, 0.25, 0.86, 0.3, 0.68, 0.25, 0.38, 1.0, 0.22, 1.0, 0.74, 0.75, 0.87, 0.75, 0.26, 1.0, 1.0, 0.59, 0.75, 0.3, 0.68, 0.73, 0.19, 0.74, 0.6, 0.41, 0.57, 0.43, 0.58, 0.83, 0.7, 0.63, 0.75, 0.75, 0.75, 1.0, 0.39, 0.25, 0.25, 0.34, 0.63, 0.34, 0.22, 0.42, 0.62, 0.62, 0.61, 0.0, 0.1, 0.1, 0.59, 0.58, 0.13, 0.67, 0.88, 0.95, 0.75, 0.4, 0.81, 0.26, 0.59, 0.34, 0.6, 0.59]"
7,1458449,0.371,0.194,5,2025-02-22 12:39:00.615974,"['32214', '32216', '32220', '32226', '32230', '32236', '32238', '32240', '32241', '32251', '32253', '32257', '32258', '32259', '32260', '32262', '32263', '32269', '32272', '32281']","[3052, 1098, 3656, 3406, 1553, 506, 5123, 4987, 4846, 2236, 2620, 3749, 5264, 5045, 211, 3846, 4520, 1505, 712, 3316, 2761, 2640, 2847, 4747, 5216, 795, 5110, 1268, 4062, 5700, 3720, 2339, 3326, 5614, 1273, 5541]","[1.0, 0.8, 1.0, 0.77, 0.68, 0.66, 0.75, 0.8, 0.82, 0.16, 0.18, 0.18, 0.75, 0.86, 0.27, 0.71, 1.0, 0.38, 0.58, 0.23, 0.56, 0.72, 0.25, 0.85, 1.0, 0.22, 1.0, 1.0, 0.61, 0.55, 0.26, 0.77, 0.74, 0.21, 0.7, 0.57, 0.37, 1.0, 0.39, 1.0, 0.84, 0.75, 0.63, 1.0, 0.75, 0.25, 1.0, 0.42, 0.0, 0.75, 0.3, 0.61, 0.38, 0.2, 0.34, 1.0, 0.67, 0.67, 0.0, 0.09, 0.09, 0.63, 0.6, 0.14, 0.59, 0.89, 0.95, 0.5, 0.36, 0.8, 0.3, 0.63, 0.3, 0.63, 0.63]"
8,1370489,0.394,0.306,5,2025-02-22 12:39:00.795474,"['32214', '32216', '32220', '32226', '32230', '32232', '32234', '32236', '32238', '32240', '32241', '32251', '32257', '32258', '32259', '32260', '32262', '32263', '32272', '32281']","[506, 712, 3052, 1273, 5700, 2943, 1553, 3266, 2236, 4622, 4846, 5216, 4062, 4689, 5110, 1359, 336, 4796, 211, 2640, 5758, 4987, 2761, 5614, 4322, 5760, 4455, 2753, 1382, 3326, 576, 5541, 5692, 264, 117, 1176]","[0.0, 0.79, 0.25, 0.79, 0.68, 0.69, 0.75, 0.8, 0.81, 0.17, 0.19, 0.17, 0.25, 0.86, 0.28, 0.69, 0.0, 0.37, 0.75, 0.23, 1.0, 0.71, 0.75, 0.86, 1.0, 0.23, 1.0, 0.75, 0.6, 0.57, 0.28, 0.74, 0.72, 0.19, 0.73, 0.58, 0.39, 0.25, 0.41, 0.56, 0.83, 0.72, 0.64, 0.75, 0.75, 0.25, 0.75, 0.41, 0.0, 0.0, 0.31, 0.64, 0.35, 0.2, 0.38, 0.57, 0.65, 0.64, 0.0, 0.1, 0.09, 0.61, 0.6, 0.13, 0.63, 0.88, 0.95, 0.75, 0.38, 0.8, 0.28, 0.61, 0.33, 0.61, 0.61]"
9,1135569,0.426,0.0,5,2025-02-22 12:39:00.976584,"['32214', '32216', '32220', '32226', '32230', '32232', '32234', '32236', '32238', '32240', '32241', '32243', '32253', '32257', '32258', '32259', '32260', '32262', '32272', '32281']","[211, 3052, 1098, 2236, 4987, 2761, 712, 506, 4033, 1176, 4030, 1359, 5614, 5110, 2339, 2640, 3951, 4299, 4747, 576, 5216, 5700, 2620, 4689, 2943, 3720, 4520, 3406, 4627, 5899, 5123, 5541, 628, 5206, 3263, 406]","[0.0, 0.77, 1.0, 0.76, 0.68, 0.71, 0.25, 0.81, 0.81, 0.16, 0.2, 0.18, 0.75, 0.86, 0.29, 0.69, 0.0, 0.39, 1.0, 0.22, 1.0, 0.74, 0.0, 0.86, 0.75, 0.25, 1.0, 1.0, 0.59, 0.75, 0.29, 0.71, 0.73, 0.2, 0.72, 0.59, 0.4, 0.57, 0.42, 1.0, 0.84, 0.72, 0.63, 1.0, 1.0, 1.0, 1.0, 0.4, 0.25, 0.56, 0.33, 0.62, 0.35, 0.21, 0.4, 0.61, 0.63, 0.63, 0.0, 0.1, 0.1, 0.6, 0.58, 0.14, 0.65, 0.88, 0.95, 0.75, 0.39, 0.81, 0.27, 0.6, 0.33, 0.61, 0.6]"
