,User,RMSE,CRA,ModelVersion,TimeStamp,Queries,Neighbors,Predictions
0,1025142,0.368,0.111,0,2025-02-23 22:20:51.450055,"['32214', '32215', '32216', '32217', '32219', '32220', '32222', '32226', '32230', '32232', '32233', '32239', '32241', '32243', '32248', '32249', '32251', '32259', '32260', '32264', '32265', '32267', '32274', '32276', '32277', '32281', '32283', '32285', '32287', '32288']","[4226, 5242, 1077, 3326, 5908, 3052, 5072, 4673, 930, 2968, 990, 4953, 339, 4368, 4003, 2664, 4033, 2505, 5238, 2316, 3500, 1822, 823, 5647, 5829, 4846, 637, 2379, 2840, 5195, 1728, 3665, 1072, 2189, 5918, 5682]","[1.0, 0.25, 0.0, 0.75, 0.6, 0.25, 1.0, 0.31, 0.75, 0.71, 0.34, 0.81, 1.0, 0.83, 0.3, 0.68, 0.0, 0.64, 1.0, 1.0, 0.3, 0.97, 0.72, 0.96, 0.26, 0.75, 0.34, 0.0, 0.93, 0.75, 0.65, 0.77, 0.29, 0.8, 0.75, 1.0, 0.88, 0.75, 0.39, 0.79, 0.62, 0.66, 0.69, 0.77, 0.92, 0.25, 0.75, 0.68, 0.35, 0.84, 0.25, 0.75, 0.01, 0.25, 0.27, 0.65, 0.81, 0.83, 0.33, 0.67, 1.0, 0.85, 0.17, 0.17, 0.79, 0.27, 0.61, 0.25, 0.69, 0.5, 0.63, 0.75, 0.64, 0.5, 0.75]"
1,112901,0.372,0.306,0,2025-02-23 22:20:51.730796,"['32214', '32215', '32218', '32219', '32220', '32222', '32229', '32239', '32243', '32244', '32254', '32255', '32256', '32260', '32265', '32267', '32268', '32269', '32272', '32276', '32278', '32279', '32280', '32281', '32282', '32283', '32284', '32285', '32287', '32288']","[2338, 5114, 1596, 2879, 5326, 5915, 882, 308, 5562, 2011, 4861, 2762, 1585, 905, 5884, 3703, 4723, 3484, 930, 3054, 2334, 2839, 4804, 3383, 1788, 1048, 2744, 3982, 277, 2875, 1178, 174, 1072, 4319, 4554, 3020]","[0.75, 0.25, 0.39, 0.37, 0.25, 0.0, 0.0, 0.16, 0.25, 0.88, 0.23, 0.74, 0.65, 0.62, 0.15, 0.75, 0.75, 0.25, 0.2, 0.31, 0.07, 0.81, 0.76, 0.88, 0.08, 0.25, 0.2, 0.28, 0.91, 1.0, 0.0, 0.85, 0.1, 0.75, 0.31, 0.68, 0.87, 0.35, 0.3, 0.7, 0.25, 0.75, 0.0, 0.6, 0.85, 0.34, 0.0, 0.73, 0.08, 0.92, 0.66, 0.25, 0.0, 1.0, 0.75, 0.75, 0.77, 0.61, 0.75, 0.8, 0.62, 0.81, 0.0, 0.64, 0.83, 0.5, 0.17, 0.0, 0.75, 0.75, 0.75, 0.75, 0.75, 1.0, 0.75]"
2,6967,0.229,0.389,0,2025-02-23 22:20:52.011758,"['32214', '32216', '32220', '32221', '32224', '32226', '32228', '32230', '32232', '32233', '32234', '32236', '32238', '32240', '32241', '32245', '32246', '32247', '32251', '32259', '32261', '32262', '32264', '32270', '32274', '32275', '32277', '32283', '32286', '32287']","[5692, 506, 835, 1505, 2612, 3593, 391, 3263, 4033, 5216, 2761, 117, 2753, 3474, 3596, 4184, 734, 216, 5812, 539, 188, 4866, 1098, 2620, 4396, 1103, 3063, 5541, 3255, 3052, 3709, 5535, 5065, 5123, 2078, 5256]","[0.25, 0.71, 0.25, 0.22, 0.83, 0.73, 0.75, 1.0, 0.31, 0.66, 0.0, 0.86, 0.75, 0.92, 0.25, 0.67, 0.25, 0.74, 0.0, 1.0, 0.75, 0.97, 0.25, 0.88, 1.0, 0.76, 1.0, 1.0, 0.82, 0.33, 0.84, 1.0, 0.75, 0.75, 0.35, 0.21, 0.97, 1.0, 0.3, 0.84, 0.81, 0.81, 0.83, 0.89, 0.8, 0.75, 0.76, 0.25, 0.0, 0.83, 0.25, 0.38, 0.0, 0.64, 0.22, 0.68, 0.75, 0.94, 0.26, 0.64, 0.83, 0.33, 0.65, 1.0, 0.7, 0.23, 0.8, 0.69, 0.8, 0.25, 0.75, 0.35, 0.75, 0.0, 0.69]"
3,1139368,0.262,0.472,0,2025-02-23 22:20:52.291422,"['32214', '32216', '32220', '32221', '32223', '32224', '32226', '32228', '32232', '32233', '32234', '32236', '32238', '32241', '32245', '32247', '32248', '32252', '32259', '32261', '32263', '32265', '32270', '32273', '32274', '32275', '32277', '32283', '32286', '32287']","[5609, 5763, 1196, 2367, 4725, 342, 1750, 5256, 5778, 3984, 5459, 5276, 3376, 5657, 68, 182, 668, 1480, 2010, 1164, 4538, 3675, 2177, 297, 1117, 1856, 3095, 5134, 810, 1293, 1067, 520, 5157, 939, 5847, 4651]","[0.0, 0.85, 1.0, 0.21, 0.93, 0.86, 0.25, 1.0, 0.24, 0.0, 1.0, 0.9, 0.0, 0.97, 1.0, 0.75, 0.16, 0.92, 0.75, 1.0, 1.0, 0.99, 0.0, 0.92, 1.0, 0.87, 0.8, 1.0, 0.78, 0.25, 0.93, 0.0, 0.81, 0.0, 0.75, 0.09, 0.98, 0.76, 0.0, 0.9, 0.91, 0.89, 0.91, 0.95, 0.81, 1.0, 0.85, 0.0, 0.84, 1.0, 0.2, 1.0, 0.01, 0.75, 0.09, 0.81, 0.75, 0.98, 0.13, 0.0, 0.0, 0.0, 0.8, 0.0, 0.78, 0.13, 0.91, 0.82, 0.89, 0.75, 0.85, 0.24, 0.5, 0.5, 0.83]"
4,1599739,0.393,0.361,0,2025-02-23 22:20:52.569167,"['32214', '32216', '32220', '32221', '32224', '32226', '32230', '32232', '32233', '32234', '32236', '32238', '32240', '32241', '32243', '32245', '32246', '32251', '32259', '32261', '32262', '32265', '32267', '32274', '32276', '32277', '32283', '32285', '32286', '32287']","[2840, 539, 506, 835, 2620, 2761, 1728, 2753, 823, 216, 3052, 4701, 117, 3285, 795, 4003, 1359, 1077, 5242, 4033, 2505, 3500, 4299, 2664, 4249, 4747, 5216, 3593, 5692, 3151, 5812, 1098, 2612, 3094, 3481, 4226]","[0.25, 0.64, 0.0, 0.34, 0.77, 0.65, 0.75, 1.0, 0.38, 0.67, 0.25, 0.84, 1.0, 0.9, 0.38, 0.68, 0.0, 0.72, 1.0, 0.75, 0.25, 0.97, 0.0, 0.92, 0.0, 0.69, 0.25, 0.0, 0.87, 0.0, 0.79, 0.75, 0.25, 0.63, 0.39, 0.3, 0.95, 0.75, 0.33, 0.83, 0.76, 0.76, 0.79, 0.86, 0.86, 1.0, 0.71, 0.75, 1.0, 0.83, 0.37, 0.75, 0.01, 1.0, 0.23, 0.68, 0.66, 0.92, 0.28, 0.65, 1.0, 0.69, 0.67, 0.17, 0.74, 0.24, 0.75, 0.64, 0.77, 0.5, 0.72, 0.75, 0.5, 0.75, 0.62]"
5,1553304,0.519,0.25,5,2025-02-23 22:20:52.932288,"['32215', '32218', '32219', '32222', '32224', '32226', '32229', '32230', '32231', '32239', '32241', '32243', '32247', '32249', '32259', '32261', '32264', '32267', '32268', '32269', '32270', '32272', '32274', '32276', '32278', '32279', '32281', '32284', '32285', '32288']","[2612, 557, 5237, 4723, 4665, 2744, 2582, 4838, 2839, 2499, 4226, 2740, 174, 3052, 238, 1788, 2150, 5782, 3308, 823, 4065, 5855, 539, 122, 2948, 5198, 3703, 1071, 1564, 2289, 3383, 825, 3741, 1928, 882, 3689]","[0.41, 1.0, 0.38, 0.19, 1.0, 1.0, 0.41, 0.25, 0.0, 0.8, 1.0, 0.79, 0.0, 0.73, 0.25, 0.0, 1.0, 0.0, 0.22, 0.28, 0.16, 0.85, 0.61, 0.83, 0.15, 0.75, 0.29, 1.0, 0.84, 1.0, 0.62, 0.74, 0.23, 1.0, 0.3, 1.0, 0.96, 0.38, 0.25, 0.71, 0.7, 0.69, 0.73, 0.79, 0.84, 1.0, 0.66, 1.0, 0.19, 0.91, 1.0, 0.38, 0.0, 0.0, 1.0, 0.0, 1.0, 0.78, 1.0, 0.72, 1.0, 0.67, 0.83, 0.64, 0.83, 1.0, 0.61, 0.25, 0.61, 0.63, 1.0, 1.0, 0.7, 0.6, 0.5]"
6,1152614,0.318,0.5,5,2025-02-23 22:20:53.178864,"['32214', '32216', '32220', '32221', '32223', '32224', '32226', '32228', '32230', '32232', '32233', '32234', '32236', '32238', '32240', '32245', '32246', '32247', '32248', '32261', '32262', '32265', '32267', '32270', '32274', '32277', '32283', '32285', '32286', '32287']","[5216, 1505, 2753, 5692, 2840, 5402, 1787, 3593, 2761, 42, 5460, 3255, 2664, 1164, 2869, 2907, 4184, 835, 295, 3474, 342, 1098, 5256, 3675, 5065, 3249, 5204, 5073, 4757, 981, 3932, 2612, 4696, 2177, 4257, 3749]","[0.25, 0.73, 0.0, 0.32, 0.86, 0.71, 0.75, 0.25, 0.29, 0.0, 0.75, 0.87, 0.25, 0.92, 0.75, 0.69, 0.25, 0.85, 1.0, 0.75, 1.0, 0.99, 0.75, 0.94, 0.75, 0.77, 1.0, 0.62, 0.85, 0.39, 0.84, 1.0, 1.0, 0.25, 1.0, 0.26, 0.97, 0.72, 0.36, 0.86, 0.87, 0.78, 0.88, 0.93, 0.87, 0.65, 0.8, 0.75, 0.25, 0.8, 0.25, 0.75, 0.0, 0.25, 0.19, 0.74, 0.75, 0.93, 0.18, 0.6, 1.0, 0.62, 0.74, 0.0, 0.73, 0.22, 0.87, 0.7, 0.8, 0.5, 0.79, 0.25, 0.75, 0.0, 0.75]"
7,1458449,0.336,0.528,5,2025-02-23 22:20:53.429612,"['32214', '32216', '32220', '32221', '32223', '32224', '32226', '32228', '32230', '32233', '32236', '32238', '32240', '32241', '32245', '32246', '32247', '32248', '32261', '32264', '32265', '32267', '32270', '32273', '32274', '32275', '32277', '32283', '32286', '32287']","[4396, 5065, 1098, 5812, 1505, 5692, 3709, 5216, 3310, 295, 391, 3263, 3084, 841, 1316, 2367, 3376, 5256, 342, 1268, 3255, 795, 3593, 4184, 1164, 5460, 5763, 5290, 2761, 598, 1787, 49, 2668, 3450, 5027, 4520]","[1.0, 0.77, 1.0, 0.27, 0.89, 0.76, 0.75, 1.0, 0.25, 0.0, 0.75, 0.88, 0.75, 0.93, 0.75, 0.69, 1.0, 0.87, 0.67, 1.0, 0.67, 0.99, 0.25, 0.93, 1.0, 0.81, 1.0, 1.0, 0.83, 0.35, 0.87, 0.75, 1.0, 0.0, 0.25, 0.21, 0.98, 0.74, 0.36, 0.88, 0.89, 0.81, 0.9, 0.95, 0.85, 0.67, 0.83, 0.25, 0.76, 0.78, 0.0, 0.75, 0.0, 1.0, 0.16, 0.74, 0.75, 0.95, 0.16, 0.0, 0.67, 0.5, 0.77, 0.67, 0.72, 0.2, 0.9, 0.74, 0.83, 0.25, 0.81, 0.37, 0.5, 0.25, 0.79]"
8,1370489,0.326,0.333,5,2025-02-23 22:20:53.677751,"['32216', '32220', '32221', '32224', '32226', '32229', '32230', '32232', '32233', '32236', '32240', '32241', '32245', '32246', '32247', '32251', '32259', '32261', '32262', '32264', '32265', '32267', '32269', '32270', '32274', '32275', '32277', '32283', '32285', '32287']","[506, 539, 637, 835, 889, 5658, 2612, 2840, 117, 3729, 5216, 4033, 990, 216, 4796, 5905, 3596, 3285, 2664, 4701, 3052, 882, 3094, 3500, 1786, 5195, 5593, 5204, 5692, 2753, 1077, 5535, 1176, 5168, 712, 2058]","[0.42, 0.65, 0.25, 0.25, 0.74, 0.62, 0.75, 0.0, 0.35, 0.68, 0.75, 0.84, 0.25, 0.86, 0.39, 0.25, 0.0, 0.69, 0.75, 1.0, 0.39, 0.96, 0.75, 0.9, 0.38, 0.7, 1.0, 0.75, 0.84, 0.4, 0.76, 1.0, 0.25, 0.75, 0.38, 0.36, 0.97, 0.25, 0.31, 0.8, 0.81, 0.75, 0.83, 0.89, 0.85, 0.25, 0.74, 0.0, 0.0, 0.86, 0.25, 0.75, 0.0, 0.75, 0.32, 0.75, 0.25, 0.88, 0.29, 0.66, 0.67, 0.67, 0.64, 0.0, 0.67, 0.29, 0.78, 0.61, 0.73, 0.5, 0.71, 0.5, 0.61, 0.5, 0.65]"
9,1135569,0.309,0.417,5,2025-02-23 22:20:53.927404,"['32214', '32216', '32220', '32221', '32223', '32226', '32228', '32229', '32230', '32232', '32233', '32236', '32240', '32245', '32247', '32248', '32252', '32261', '32265', '32267', '32270', '32273', '32274', '32275', '32277', '32278', '32283', '32285', '32286', '32287']","[5609, 2346, 182, 3310, 5276, 2678, 5657, 1750, 1117, 4396, 1196, 68, 5290, 4725, 2010, 1856, 1480, 4651, 4538, 297, 674, 1164, 2695, 520, 5847, 3829, 5157, 148, 30, 5301, 2754, 3086, 5459, 3295, 1240, 2481]","[0.0, 0.83, 1.0, 0.17, 0.93, 0.85, 0.25, 1.0, 0.17, 0.0, 0.76, 0.9, 0.75, 0.95, 1.0, 0.75, 0.0, 0.9, 1.0, 1.0, 0.76, 0.99, 0.0, 0.91, 0.79, 0.87, 1.0, 0.74, 0.77, 0.25, 0.93, 0.0, 0.78, 0.0, 0.25, 0.13, 0.99, 0.77, 0.0, 0.9, 0.93, 0.86, 0.94, 0.96, 0.81, 0.71, 0.88, 0.0, 0.84, 0.76, 0.18, 1.0, 0.0, 1.0, 0.13, 0.74, 0.0, 0.97, 0.13, 0.0, 0.0, 0.17, 0.83, 0.0, 0.83, 0.17, 0.94, 0.81, 0.86, 0.25, 0.86, 0.25, 0.5, 0.5, 0.85]"
