,User,RMSE,CRA,ModelVersion,TimeStamp,Queries,Neighbors,Predictions
0,302343,0.333,0.222,0,2025-02-22 16:31:32.236279,"['32238', '32240', '32267', '32276', '32277']","[835, 117, 539, 5692, 216, 5541, 506, 3474, 5216, 1942, 391, 2840, 2620, 3951, 734, 5256, 2761, 3263, 2612, 2753, 5535, 2943, 5195, 4033, 1268, 1316, 1098, 3406, 3029, 4322, 4161, 3052, 1382, 3310, 3255, 4520]","[0.37, 0.76, 0.51, 0.2, 0.82, 0.72, 0.59, 0.54, 0.31, 0.61, 0.62, 0.87, 0.43, 0.92, 0.42, 0.6, 0.36, 0.71, 0.48, 0.46, 0.47, 0.95, 0.53, 0.86, 1.0, 0.78, 1.0, 0.68, 0.77, 0.35, 0.82, 0.51, 0.48, 0.52, 0.4, 0.24, 0.97, 0.62, 0.27, 0.89, 0.81, 0.78, 0.86, 0.92, 0.79, 0.69, 0.78, 0.42, 0.52, 0.84, 0.35, 0.41, 0.9, 1.0, 0.22, 0.67, 0.5, 0.93, 0.23, 0.63, 0.5, 0.57, 1.0, 0.67, 0.7, 0.2, 0.79, 0.65, 0.84, 0.51, 0.73, 0.38, 0.54, 0.39, 0.72]"
1,929284,0.287,0.222,0,2025-02-22 16:31:32.286510,"['32216', '32224', '32240', '32267', '32276']","[835, 117, 539, 506, 5692, 216, 2612, 2620, 2840, 3052, 5541, 3951, 4033, 2753, 5195, 3263, 990, 3406, 3474, 4520, 391, 5216, 4539, 4723, 1098, 1942, 2761, 712, 2943, 5535, 4322, 3596, 4003, 3285, 4757, 4065]","[0.4, 0.73, 0.25, 0.21, 0.79, 0.68, 0.57, 0.49, 0.33, 0.64, 1.0, 0.86, 0.45, 0.9, 0.39, 0.59, 0.4, 0.66, 0.44, 0.43, 0.42, 0.93, 0.56, 0.85, 0.51, 0.75, 1.0, 0.65, 0.78, 0.38, 0.79, 0.55, 0.43, 0.54, 0.38, 0.28, 0.97, 0.6, 0.26, 0.88, 0.79, 0.76, 0.84, 0.9, 0.79, 0.67, 0.76, 0.44, 0.46, 0.85, 0.39, 0.41, 0.89, 1.0, 0.26, 0.65, 0.52, 0.92, 0.26, 0.64, 0.52, 0.59, 0.67, 0.51, 0.69, 0.22, 0.76, 0.62, 0.82, 0.52, 0.7, 0.4, 0.56, 0.41, 0.69]"
2,421155,0.459,0.111,0,2025-02-22 16:31:32.332672,"['32214', '32224', '32226', '32240', '32276']","[835, 539, 2612, 117, 506, 3052, 2620, 2840, 216, 4003, 3951, 4033, 5195, 4723, 5541, 2943, 5692, 4065, 3474, 3596, 3406, 990, 2753, 2761, 3263, 3094, 2756, 637, 5216, 3703, 4322, 5460, 4747, 3729, 4539, 4520]","[0.25, 0.71, 0.48, 0.22, 0.76, 0.65, 0.56, 0.47, 0.35, 0.66, 1.0, 0.85, 0.0, 0.89, 0.37, 0.58, 0.43, 0.63, 0.43, 0.42, 0.39, 0.93, 0.59, 0.86, 0.47, 0.73, 0.75, 0.63, 0.79, 0.4, 0.77, 0.58, 0.4, 0.56, 0.38, 0.3, 0.97, 0.58, 0.26, 0.87, 0.77, 0.74, 0.83, 0.89, 0.8, 0.66, 0.74, 0.47, 0.44, 0.85, 0.41, 0.42, 0.88, 0.53, 0.27, 0.64, 0.54, 0.91, 0.27, 0.65, 0.53, 0.62, 0.33, 0.52, 0.69, 0.23, 0.73, 0.6, 0.8, 0.52, 0.69, 0.42, 0.57, 0.43, 0.66]"
3,1458985,0.288,0.361,0,2025-02-22 16:31:32.378445,"['32238', '32240', '32267', '32274', '32276']","[835, 539, 117, 216, 5692, 506, 3474, 5195, 2840, 5541, 5216, 2620, 391, 3951, 3263, 5256, 4520, 1942, 2753, 3255, 2943, 2761, 3406, 4033, 5535, 2612, 734, 3029, 990, 1098, 3052, 712, 1268, 1164, 4600, 5364]","[0.39, 0.75, 0.52, 0.22, 0.81, 0.71, 0.59, 0.54, 0.32, 0.61, 0.61, 0.87, 0.43, 0.91, 0.42, 0.61, 0.37, 0.71, 0.49, 0.48, 0.48, 0.95, 0.54, 0.87, 0.75, 0.77, 1.0, 0.67, 0.78, 0.37, 0.82, 0.52, 0.48, 0.54, 0.4, 0.26, 0.97, 0.62, 0.28, 0.89, 0.81, 0.78, 0.85, 0.92, 0.81, 0.69, 0.77, 0.43, 0.52, 0.83, 0.35, 0.43, 0.9, 1.0, 0.22, 0.67, 0.51, 0.93, 0.23, 0.63, 0.17, 0.59, 0.83, 0.47, 0.7, 0.2, 0.78, 0.64, 0.83, 0.51, 0.72, 0.38, 0.54, 0.39, 0.71]"
4,353783,0.338,0.194,0,2025-02-22 16:31:32.425097,"['32214', '32220', '32226', '32267', '32276']","[3052, 2612, 539, 4003, 506, 835, 2620, 4033, 5195, 3094, 117, 3703, 4723, 557, 2840, 637, 4226, 1553, 2943, 823, 4701, 216, 882, 5758, 5483, 2505, 1077, 4747, 1359, 990, 2740, 2263, 4539, 5658, 3951, 238]","[0.25, 0.66, 0.45, 0.26, 0.69, 0.57, 1.0, 0.39, 0.39, 0.72, 0.49, 0.83, 0.25, 0.84, 0.31, 0.57, 0.51, 0.55, 0.38, 0.39, 0.31, 0.91, 0.65, 0.87, 0.36, 0.68, 0.43, 0.56, 0.82, 0.45, 0.69, 0.66, 0.32, 0.62, 0.37, 0.38, 0.95, 0.54, 0.25, 0.84, 0.71, 0.69, 0.78, 0.84, 0.82, 0.63, 0.7, 0.53, 0.36, 0.87, 0.47, 0.43, 0.85, 0.0, 0.32, 0.61, 0.6, 0.87, 0.32, 0.67, 0.55, 0.68, 0.17, 0.55, 0.69, 0.27, 0.66, 0.55, 0.76, 0.53, 0.64, 0.46, 0.6, 0.47, 0.59]"
5,1493132,0.284,0.306,5,2025-02-22 16:31:32.577133,"['32226', '32232', '32241', '32264', '32277']","[835, 5195, 506, 3052, 117, 539, 2620, 4033, 2840, 4539, 2761, 4600, 637, 2612, 4003, 216, 3500, 3285, 3094, 990, 1553, 5692, 2664, 2943, 2112, 5216, 1728, 2753, 3406, 795, 4757, 2505, 4723, 4412, 3474, 1786]","[0.45, 0.67, 0.47, 0.27, 0.74, 0.6, 0.58, 0.41, 0.4, 0.68, 0.49, 0.87, 0.75, 0.87, 0.4, 0.61, 0.4, 0.72, 0.75, 0.47, 0.39, 0.96, 0.59, 0.91, 0.41, 0.69, 0.43, 0.75, 0.86, 0.43, 0.77, 0.59, 0.42, 0.54, 0.4, 0.32, 0.96, 0.62, 0.29, 0.84, 0.76, 0.72, 0.81, 0.85, 0.85, 0.64, 0.71, 0.51, 0.45, 0.85, 0.25, 0.42, 0.85, 0.57, 0.29, 0.67, 0.59, 0.93, 0.31, 0.62, 0.5, 0.68, 0.57, 0.0, 0.69, 0.27, 0.71, 0.6, 0.75, 0.54, 0.69, 0.41, 0.58, 0.43, 0.63]"
6,444508,0.401,0.167,5,2025-02-22 16:31:32.618751,"['32241', '32247', '32264', '32276', '32277']","[3052, 2612, 539, 4033, 506, 4723, 835, 3703, 5195, 117, 4003, 2620, 557, 216, 3729, 2840, 4226, 1553, 3094, 882, 823, 4701, 5658, 1359, 637, 2740, 3285, 2753, 4600, 3951, 5264, 4539, 5614, 2943, 4065, 2060]","[0.41, 0.64, 0.41, 0.2, 0.68, 0.55, 0.51, 0.35, 0.4, 0.74, 0.45, 0.85, 0.53, 0.84, 0.33, 0.57, 0.49, 0.59, 0.4, 0.34, 0.27, 0.91, 0.6, 0.85, 0.31, 0.68, 0.39, 1.0, 0.85, 0.4, 0.74, 0.63, 0.32, 0.75, 0.36, 0.36, 0.97, 0.55, 0.27, 0.82, 0.72, 0.72, 0.78, 0.82, 0.8, 0.55, 0.69, 0.53, 0.3, 0.88, 0.75, 0.37, 0.83, 0.56, 0.39, 0.6, 0.56, 0.9, 0.39, 0.67, 0.54, 0.64, 0.67, 0.83, 0.64, 0.32, 0.68, 0.58, 0.71, 0.57, 0.64, 0.43, 0.63, 0.46, 0.57]"
7,259696,0.38,0.0,5,2025-02-22 16:31:32.658686,"['32226', '32232', '32241', '32261', '32277']","[835, 539, 3052, 2612, 5195, 4033, 2840, 5216, 216, 506, 117, 2753, 2505, 2620, 1553, 4520, 2664, 4600, 3500, 2379, 4825, 637, 2761, 3474, 4065, 990, 5593, 3285, 1077, 2943, 2112, 4539, 1359, 823, 4757, 5460]","[0.46, 0.68, 0.48, 0.28, 0.76, 0.61, 0.59, 0.43, 0.39, 0.67, 0.5, 0.87, 0.0, 0.88, 0.42, 0.62, 0.38, 0.74, 1.0, 0.49, 0.42, 0.97, 0.58, 0.92, 0.43, 0.69, 0.43, 1.0, 0.86, 0.43, 0.78, 0.59, 0.44, 0.55, 0.41, 0.31, 0.96, 0.64, 0.3, 0.85, 0.76, 0.73, 0.82, 0.86, 0.86, 0.65, 0.72, 1.0, 0.48, 0.84, 0.42, 0.43, 0.85, 0.57, 0.28, 0.68, 0.59, 0.93, 0.29, 0.61, 0.5, 0.68, 0.58, 0.0, 0.7, 0.26, 0.72, 0.61, 0.76, 0.53, 0.7, 0.41, 0.57, 0.42, 0.64]"
8,701685,0.405,0.0,5,2025-02-22 16:31:32.698963,"['32220', '32230', '32251', '32276', '32277']","[3052, 2612, 4723, 3703, 539, 4226, 4003, 506, 4033, 557, 3308, 1553, 823, 5195, 882, 2740, 835, 2744, 117, 2620, 3094, 5658, 2840, 825, 3326, 637, 4701, 4539, 1072, 4846, 5782, 990, 2263, 1466, 5760, 5264]","[0.46, 0.59, 0.38, 0.23, 0.61, 0.5, 0.75, 0.3, 0.46, 0.78, 0.4, 0.83, 0.57, 0.79, 0.27, 0.57, 1.0, 0.53, 0.37, 0.31, 0.21, 0.9, 0.65, 0.86, 0.24, 0.62, 0.31, 0.45, 0.87, 0.45, 0.67, 0.7, 0.25, 0.53, 0.36, 0.45, 0.96, 0.75, 0.27, 0.78, 0.66, 0.69, 0.73, 0.78, 0.82, 0.52, 0.64, 0.58, 0.23, 0.88, 0.58, 0.39, 0.81, 0.51, 0.45, 0.57, 0.61, 0.86, 0.43, 0.69, 0.57, 0.69, 0.0, 0.83, 0.64, 0.35, 0.63, 0.53, 0.67, 0.57, 0.6, 0.47, 0.66, 0.5, 0.51]"
9,769804,0.319,0.056,5,2025-02-22 16:31:32.739320,"['32226', '32232', '32241', '32262', '32277']","[835, 5216, 216, 4520, 2620, 5195, 539, 3052, 2840, 4033, 117, 3474, 5692, 506, 2761, 2664, 3500, 4257, 5460, 5256, 2753, 4757, 2943, 5204, 2112, 2612, 990, 3706, 3029, 5593, 1164, 1077, 4412, 5535, 342, 4539]","[0.44, 0.71, 0.51, 0.27, 0.8, 0.65, 0.62, 0.47, 0.36, 0.63, 0.55, 0.88, 0.25, 0.91, 0.47, 0.63, 0.33, 0.8, 1.0, 0.53, 0.49, 0.97, 0.55, 0.93, 0.5, 0.73, 0.49, 1.0, 0.85, 0.41, 0.82, 0.54, 0.51, 0.54, 0.42, 0.26, 0.97, 0.68, 0.3, 0.87, 0.8, 0.75, 0.85, 0.89, 0.86, 0.68, 0.75, 0.47, 0.75, 0.83, 0.37, 0.42, 0.87, 0.6, 0.23, 0.71, 0.56, 0.95, 0.26, 0.58, 0.47, 0.66, 0.62, 0.0, 0.71, 0.23, 0.76, 0.65, 0.78, 0.53, 0.74, 0.38, 0.54, 0.4, 0.68]"
