,User,RMSE,CRA,ModelVersion,TimeStamp,Queries,Neighbors,Predictions
0,374831,0.42,0.111,0,2025-02-22 22:05:59.391971,"['32214', '32216', '32219', '32222', '32223', '32228', '32232', '32241', '32242', '32246', '32247', '32263', '32268', '32274', '32276', '32277', '32278', '32280', '32284', '32285']","[5046, 4083, 216, 2840, 835, 506, 539, 5522, 1359, 5195, 5692, 4600, 5216, 3094, 5535, 2761, 3285, 3481, 1268, 5402, 734, 1505, 117, 342, 1117, 637, 2505, 1176, 2620, 2072, 2756, 2612, 1164, 3500, 1787, 134]","[0.75, 0.75, 0.75, 0.25, 0.69, 0.75, 0.68, 0.39, 0.25, 0.0, 0.31, 0.81, 0.74, 0.77, 1.0, 0.68, 0.33, 0.66, 1.0, 0.68, 0.68, 0.81, 0.87, 0.88, 0.26, 0.79, 0.69, 1.0, 0.75, 0.25, 0.69, 0.21, 0.25, 1.0, 0.13, 0.35, 0.88, 0.63, 0.27, 0.9, 0.78, 0.9, 0.79, 0.9, 0.74, 0.38, 0.69, 0.74, 0.77, 0.75, 0.23, 0.64, 0.09, 0.27, 0.0, 0.69, 0.38, 0.79, 0.19, 0.64, 0.33, 0.63, 1.0, 0.0, 0.83, 0.19, 1.0, 0.87, 0.63, 0.78, 0.75, 0.25, 0.88, 0.9, 0.64]"
1,60370,0.406,0.111,0,2025-02-22 22:05:59.582177,"['32214', '32216', '32218', '32219', '32222', '32223', '32228', '32232', '32240', '32242', '32244', '32247', '32249', '32268', '32274', '32276', '32277', '32278', '32280', '32284']","[4226, 557, 4003, 2505, 506, 539, 2612, 3094, 4723, 2840, 637, 1077, 2379, 4701, 835, 5535, 2948, 2620, 5483, 1359, 2378, 4033, 1929, 3052, 5195, 2839, 823, 2263, 1706, 3134, 3819, 3326, 880, 4489, 1786, 889]","[0.0, 0.73, 1.0, 0.27, 0.0, 0.0, 0.61, 0.29, 1.0, 0.25, 0.42, 0.74, 0.78, 0.72, 0.0, 0.61, 0.41, 0.58, 0.0, 0.61, 0.61, 0.74, 0.9, 0.88, 0.18, 0.71, 0.0, 0.6, 0.75, 0.27, 1.0, 0.29, 0.3, 1.0, 0.12, 1.0, 0.86, 0.65, 0.22, 0.88, 0.73, 0.86, 0.71, 0.86, 0.8, 0.39, 0.57, 0.76, 0.75, 0.63, 0.26, 0.59, 0.15, 0.22, 0.75, 0.57, 0.38, 0.71, 0.26, 0.59, 1.0, 0.69, 0.0, 0.0, 1.0, 0.26, 0.67, 0.88, 0.65, 0.73, 0.75, 0.7, 0.88, 0.88, 0.62]"
2,683779,0.41,0.056,0,2025-02-22 22:05:59.760835,"['32214', '32216', '32219', '32222', '32223', '32224', '32228', '32232', '32241', '32242', '32247', '32259', '32263', '32268', '32274', '32276', '32277', '32278', '32280', '32284']","[5692, 2840, 2620, 1273, 2943, 5483, 5906, 1786, 2612, 2505, 506, 3285, 1382, 391, 1249, 4814, 4442, 3604, 5216, 3406, 5541, 4003, 1268, 2420, 889, 3052, 4033, 4987, 5045, 3053, 3094, 1787, 5402, 539, 3574, 734]","[1.0, 0.75, 0.75, 0.25, 0.66, 0.75, 0.66, 0.36, 0.0, 0.0, 0.0, 0.79, 0.75, 0.76, 0.0, 0.66, 0.35, 0.64, 0.0, 0.66, 0.66, 0.79, 0.88, 0.88, 0.24, 0.77, 0.66, 1.0, 0.25, 0.25, 0.66, 0.23, 0.38, 0.25, 0.13, 0.37, 0.88, 0.64, 0.25, 0.89, 0.77, 0.89, 0.77, 0.89, 0.76, 1.0, 0.66, 0.75, 0.76, 0.25, 0.24, 0.63, 0.1, 0.25, 0.25, 0.66, 0.38, 0.77, 0.21, 0.63, 1.0, 0.65, 0.83, 0.0, 0.67, 0.21, 1.0, 0.87, 0.63, 0.77, 0.75, 0.63, 0.88, 0.89, 0.63]"
3,65021,0.341,0.111,0,2025-02-22 22:05:59.941784,"['32214', '32216', '32219', '32221', '32222', '32223', '32228', '32232', '32242', '32246', '32247', '32268', '32274', '32275', '32276', '32277', '32278', '32280', '32284', '32285']","[2840, 734, 391, 5535, 2620, 1787, 5906, 5692, 835, 2420, 2943, 5402, 1117, 1273, 216, 5541, 889, 1249, 1018, 4814, 1786, 1268, 2761, 2172, 5027, 117, 2339, 506, 2246, 668, 5045, 806, 2612, 1382, 3310, 3124]","[0.0, 0.77, 1.0, 0.23, 0.68, 1.0, 0.65, 0.25, 0.0, 0.75, 0.36, 0.8, 0.74, 0.77, 0.25, 0.65, 0.34, 0.66, 0.25, 0.65, 0.65, 0.8, 0.87, 0.87, 0.26, 0.8, 0.68, 0.65, 0.0, 0.23, 0.68, 0.2, 0.75, 0.25, 0.13, 0.33, 0.89, 0.62, 0.26, 0.89, 0.78, 0.9, 0.8, 0.9, 0.74, 0.36, 0.68, 0.74, 0.76, 0.63, 0.23, 0.65, 0.09, 0.26, 0.0, 0.68, 0.37, 0.8, 0.2, 0.65, 0.83, 0.0, 1.0, 0.0, 0.67, 0.2, 1.0, 0.87, 0.62, 0.78, 1.0, 0.25, 0.87, 0.89, 0.63]"
4,1085933,0.376,0.333,0,2025-02-22 22:06:00.132152,"['32214', '32216', '32219', '32221', '32222', '32223', '32228', '32232', '32242', '32246', '32247', '32268', '32274', '32275', '32276', '32277', '32278', '32280', '32284', '32285']","[391, 1268, 1273, 4396, 841, 5692, 1117, 3709, 5812, 4547, 2072, 1505, 2420, 734, 5027, 3406, 5402, 5045, 1871, 2620, 1787, 1942, 5157, 1316, 5820, 2840, 2756, 4459, 5906, 5256, 2341, 1164, 4161, 2668, 2246, 3063]","[1.0, 0.78, 1.0, 0.22, 0.71, 1.0, 0.67, 1.0, 0.0, 0.25, 0.34, 0.81, 0.73, 0.78, 0.75, 0.67, 0.32, 0.68, 0.25, 0.67, 0.67, 0.81, 0.86, 0.87, 0.29, 0.82, 0.71, 0.66, 0.0, 0.22, 0.71, 0.18, 1.0, 0.0, 0.13, 0.31, 0.9, 0.61, 0.27, 0.89, 0.79, 0.9, 0.82, 0.9, 0.72, 0.36, 0.71, 0.74, 0.76, 0.62, 0.22, 0.66, 0.08, 0.27, 0.0, 0.71, 0.37, 0.82, 0.19, 0.66, 0.67, 0.17, 0.83, 0.0, 0.83, 0.19, 1.0, 0.87, 0.61, 0.79, 0.75, 0.0, 0.87, 0.89, 0.64]"
5,1348327,0.397,0.028,5,2025-02-22 22:06:00.375314,"['32214', '32215', '32223', '32227', '32228', '32229', '32231', '32236', '32238', '32240', '32242', '32247', '32262', '32264', '32266', '32270', '32274', '32278', '32281', '32288']","[3029, 5046, 2840, 5692, 216, 5216, 2943, 5195, 117, 3474, 2379, 835, 5460, 3255, 1382, 1098, 1273, 3749, 4547, 391, 3052, 1942, 2761, 389, 4814, 4322, 5045, 1538, 2756, 3709, 795, 2601, 1531, 2612, 2620, 506]","[1.0, 1.0, 0.69, 0.63, 0.69, 0.69, 0.63, 0.4, 0.29, 1.0, 0.33, 0.89, 0.22, 1.0, 0.25, 0.75, 0.38, 1.0, 0.39, 0.66, 0.38, 0.89, 1.0, 0.76, 1.0, 0.66, 1.0, 0.71, 1.0, 0.34, 0.8, 0.36, 0.35, 0.0, 0.12, 0.41, 0.77, 0.64, 0.63, 0.89, 0.89, 0.89, 0.66, 0.66, 0.89, 0.69, 0.89, 0.75, 1.0, 0.9, 0.0, 0.75, 1.0, 0.38, 0.13, 0.78, 0.0, 0.89, 0.22, 0.78, 0.0, 0.72, 0.78, 0.22, 0.83, 0.36, 0.7, 0.75, 0.89, 0.22, 0.78, 0.18, 0.76, 0.36, 0.5]"
6,802728,0.393,0.194,5,2025-02-22 22:06:00.534375,"['32214', '32215', '32223', '32227', '32229', '32231', '32233', '32236', '32240', '32242', '32249', '32256', '32257', '32262', '32266', '32270', '32274', '32278', '32281', '32288']","[3052, 539, 506, 835, 2612, 3094, 4226, 5195, 2263, 2505, 557, 3326, 2378, 4846, 2840, 2847, 2379, 1359, 1249, 3798, 4600, 2753, 889, 216, 882, 2948, 5483, 637, 4003, 823, 3720, 3500, 4489, 1176, 1955, 391]","[0.75, 0.25, 0.7, 0.59, 0.62, 0.7, 0.61, 0.34, 0.37, 0.25, 0.34, 0.88, 0.28, 1.0, 0.38, 0.0, 0.38, 0.0, 0.31, 1.0, 0.31, 0.87, 1.0, 0.74, 0.42, 0.6, 0.0, 0.69, 0.75, 0.39, 0.76, 0.43, 0.28, 0.64, 0.11, 1.0, 0.74, 0.6, 0.63, 0.86, 0.88, 0.86, 1.0, 1.0, 0.87, 0.64, 0.86, 0.78, 0.0, 0.9, 0.58, 0.75, 0.25, 0.38, 0.18, 0.72, 0.25, 0.88, 0.28, 0.73, 0.17, 0.69, 0.73, 0.27, 0.0, 0.38, 0.64, 0.75, 0.86, 0.28, 0.72, 0.19, 0.75, 0.42, 0.25]"
7,1003992,0.416,0.139,5,2025-02-22 22:06:00.692117,"['32214', '32215', '32221', '32223', '32227', '32228', '32229', '32231', '32232', '32236', '32238', '32242', '32247', '32262', '32264', '32270', '32274', '32278', '32281', '32288']","[3255, 3474, 5742, 1117, 539, 5402, 3330, 1164, 2840, 2756, 2943, 835, 342, 4257, 3052, 3063, 3406, 5216, 2668, 216, 3029, 391, 4459, 5256, 2761, 1098, 5127, 2367, 506, 3263, 214, 4161, 5820, 2177, 3500, 5208]","[0.25, 0.75, 0.68, 0.64, 0.72, 0.68, 0.63, 0.75, 0.26, 0.0, 0.33, 0.9, 0.2, 1.0, 1.0, 1.0, 0.38, 0.75, 0.75, 0.7, 0.42, 0.89, 0.0, 0.76, 0.25, 0.69, 0.61, 0.73, 0.0, 0.31, 0.81, 0.33, 0.39, 0.0, 0.12, 0.37, 0.78, 0.66, 0.63, 0.9, 0.9, 0.9, 0.7, 0.7, 0.89, 0.72, 0.9, 0.72, 0.25, 0.9, 0.0, 0.74, 0.59, 0.38, 0.11, 0.8, 0.25, 0.9, 0.2, 0.81, 0.0, 0.73, 0.8, 0.19, 0.67, 0.34, 0.73, 0.75, 0.9, 0.2, 0.81, 0.17, 0.76, 0.33, 0.75]"
8,1341367,0.338,0.139,5,2025-02-22 22:06:00.850069,"['32214', '32215', '32221', '32223', '32227', '32228', '32229', '32232', '32234', '32236', '32238', '32242', '32246', '32247', '32262', '32264', '32270', '32274', '32281', '32288']","[3255, 1117, 440, 3063, 5301, 3330, 5742, 3295, 3113, 1164, 5127, 3474, 2044, 2668, 5340, 3029, 295, 5256, 4459, 342, 214, 3984, 5313, 2298, 4500, 2177, 5790, 182, 2048, 5046, 5402, 4538, 4444, 5801, 5747, 2072]","[0.0, 1.0, 0.67, 0.67, 0.75, 0.67, 0.64, 0.75, 0.24, 0.25, 0.33, 0.89, 0.18, 1.0, 1.0, 1.0, 0.38, 0.59, 1.0, 0.72, 1.0, 0.9, 0.0, 0.77, 1.0, 0.69, 0.63, 0.73, 0.0, 0.31, 0.82, 0.31, 0.0, 0.0, 0.13, 0.37, 0.79, 0.67, 0.63, 0.91, 0.89, 0.91, 0.72, 0.72, 0.9, 0.72, 0.91, 0.72, 1.0, 0.9, 0.0, 0.75, 0.61, 0.38, 0.1, 0.82, 0.25, 0.89, 0.18, 0.82, 0.0, 0.74, 0.81, 0.18, 0.58, 0.34, 0.75, 1.0, 0.91, 0.18, 0.82, 0.17, 0.76, 0.31, 0.75]"
9,876748,0.407,0.139,5,2025-02-22 22:06:01.012422,"['32214', '32215', '32221', '32223', '32227', '32228', '32229', '32231', '32232', '32236', '32238', '32240', '32242', '32247', '32262', '32264', '32266', '32270', '32281', '32288']","[3029, 3474, 5692, 1538, 4699, 342, 5216, 2756, 5046, 4547, 981, 5065, 1098, 1505, 5460, 1919, 4710, 2761, 4184, 5812, 1694, 1666, 5121, 1117, 5238, 5594, 1728, 295, 4257, 1316, 4412, 863, 4322, 3749, 2840, 2494]","[1.0, 0.25, 0.66, 0.69, 0.74, 0.66, 0.64, 1.0, 0.25, 0.0, 0.33, 0.89, 0.18, 1.0, 1.0, 0.75, 0.37, 1.0, 1.0, 0.7, 0.42, 0.9, 1.0, 0.78, 1.0, 0.66, 1.0, 0.71, 0.75, 0.34, 0.82, 0.32, 0.4, 0.25, 0.13, 0.4, 0.77, 0.66, 0.62, 0.9, 0.89, 0.9, 0.7, 0.7, 0.9, 0.69, 0.9, 0.74, 1.0, 0.9, 0.0, 0.76, 1.0, 0.37, 0.1, 0.82, 1.0, 0.89, 0.18, 0.8, 0.42, 0.74, 0.8, 0.19, 0.59, 0.36, 0.73, 0.75, 0.9, 0.18, 0.8, 0.18, 0.76, 0.32, 0.75]"
