,User,RMSE,CRA,ModelVersion,TimeStamp,Queries
0,488590,0.21039295567049493,0.1111111111111111,0,2024-10-05 14:22:56.429693,"['32216', '32226', '32238', '32240', '32247', '32248', '32251', '32266', '32267', '32278']"
1,697805,0.35276335148739535,0.4722222222222222,0,2024-10-05 14:22:56.553573,"['32221', '32229', '32233', '32251', '32252', '32259', '32269', '32272', '32279', '32286']"
2,1041807,0.33689498607295537,0.3888888888888889,0,2024-10-05 14:22:56.678336,"['32215', '32222', '32245', '32248', '32251', '32262', '32263', '32266', '32274', '32278']"
3,1270751,0.3604410547309838,0.1111111111111111,0,2024-10-05 14:22:56.798741,"['32216', '32226', '32236', '32245', '32249', '32251', '32266', '32283', '32284', '32285']"
4,1324695,0.29244325578609404,0.3611111111111111,0,2024-10-05 14:22:56.917213,"['32216', '32226', '32238', '32248', '32249', '32251', '32261', '32266', '32278', '32283']"
5,958705,0.4285416143461022,0.1111111111111111,5,2024-10-05 14:22:57.232611,"['32216', '32223', '32227', '32238', '32241', '32245', '32248', '32249', '32262', '32274']"
6,785009,0.4076639909660537,0.05555555555555555,5,2024-10-05 14:22:57.360857,"['32220', '32221', '32223', '32228', '32238', '32241', '32250', '32262', '32274', '32288']"
7,336801,0.39893398377488076,0.2222222222222222,5,2024-10-05 14:22:57.520462,"['32216', '32236', '32241', '32242', '32245', '32249', '32262', '32266', '32278', '32283']"
8,1305553,0.36807844778430276,0.027777777777777776,5,2024-10-05 14:22:57.686244,"['32216', '32220', '32230', '32238', '32241', '32242', '32245', '32250', '32262', '32288']"
9,886399,0.2911163937226778,0.2777777777777778,5,2024-10-05 14:22:57.808087,"['32216', '32219', '32236', '32241', '32245', '32262', '32266', '32267', '32270', '32275']"
10,135456,0.2969835599003033,0.3611111111111111,10,2024-10-05 14:22:58.117001,"['32224', '32226', '32238', '32247', '32248', '32249', '32266', '32267', '32278', '32283']"
11,367151,0.43557627704473145,0.19444444444444445,10,2024-10-05 14:22:58.250789,"['32224', '32231', '32232', '32235', '32238', '32244', '32251', '32252', '32253', '32278']"
12,1555233,0.3130018392444526,0.1111111111111111,10,2024-10-05 14:22:58.371203,"['32216', '32219', '32224', '32240', '32243', '32245', '32249', '32253', '32274', '32285']"
13,456977,0.32056892707478535,0.2777777777777778,10,2024-10-05 14:22:58.497724,"['32224', '32230', '32238', '32245', '32248', '32253', '32262', '32266', '32274', '32283']"
14,1221700,0.3228992573356748,0.1388888888888889,10,2024-10-05 14:22:58.623108,"['32224', '32234', '32238', '32248', '32253', '32254', '32256', '32257', '32262', '32280']"
15,1463144,0.38577137950235274,0.0,15,2024-10-05 14:22:58.967557,"['32216', '32230', '32238', '32242', '32249', '32253', '32255', '32274', '32278', '32283']"
16,404828,0.362162441398232,0.0,15,2024-10-05 14:22:59.095152,"['32216', '32217', '32238', '32242', '32245', '32253', '32265', '32266', '32283', '32285']"
17,620417,0.3489708089985245,0.027777777777777776,15,2024-10-05 14:22:59.223563,"['32216', '32238', '32242', '32245', '32249', '32253', '32261', '32266', '32274', '32285']"
18,730425,0.4268913111711722,0.05555555555555555,15,2024-10-05 14:22:59.355060,"['32218', '32221', '32248', '32252', '32253', '32264', '32265', '32278', '32280', '32283']"
19,1245535,0.3585781031062887,0.19444444444444445,15,2024-10-05 14:22:59.478757,"['32215', '32221', '32223', '32238', '32245', '32253', '32262', '32274', '32280', '32283']"
20,375781,0.27221773709941033,0.19444444444444445,20,2024-10-05 14:22:59.797666,"['32216', '32219', '32248', '32255', '32257', '32266', '32270', '32275', '32281', '32285']"
21,775238,0.340602092843673,0.0,20,2024-10-05 14:22:59.960249,"['32216', '32227', '32238', '32249', '32255', '32262', '32263', '32264', '32266', '32278']"
22,568661,0.47460545890920386,0.027777777777777776,20,2024-10-05 14:23:00.098343,"['32218', '32246', '32252', '32255', '32264', '32269', '32277', '32278', '32283', '32288']"
23,655999,0.49549133249420074,0.0,20,2024-10-05 14:23:00.242406,"['32216', '32236', '32248', '32252', '32255', '32257', '32266', '32267', '32270', '32285']"
24,1358242,0.4055888983832498,0.19444444444444445,20,2024-10-05 14:23:00.375413,"['32218', '32246', '32248', '32255', '32265', '32266', '32277', '32278', '32280', '32283']"
25,618286,0.3441593551322669,0.027777777777777776,25,2024-10-05 14:23:00.695187,"['32215', '32216', '32226', '32238', '32249', '32256', '32261', '32262', '32283', '32285']"
26,500301,0.3012018345812541,0.2222222222222222,25,2024-10-05 14:23:00.823213,"['32215', '32218', '32221', '32222', '32228', '32234', '32248', '32263', '32264', '32280']"
