,User,RMSE,CRA,ModelVersion,TimeStamp,Queries,Neighbors,Predictions
0,1481942,0.365,0.389,0,2025-02-23 05:09:15.791088,"['32215', '32218', '32221', '32222', '32223', '32224', '32225', '32227', '32228', '32234', '32238', '32239', '32241', '32246', '32248', '32249', '32250', '32251', '32253', '32254', '32255', '32256', '32257', '32262', '32263', '32264', '32271', '32274', '32276', '32278', '32280', '32283', '32284', '32287', '32288']","[4226, 5195, 2840, 882, 3052, 2612, 3326, 5072, 466, 4119, 5385, 3703, 5908, 4846, 5760, 823, 5658, 557, 339, 1788, 4655, 4953, 4723, 506, 5040, 930, 1077, 990, 4319, 1822, 2867, 2505, 637, 835, 5655, 2948]","[0.79, 0.75, 0.39, 0.38, 0.75, 0.29, 0.51, 0.0, 0.0, 0.75, 0.75, 0.0, 0.7, 1.0, 0.0, 0.72, 0.5, 0.71, 0.68, 0.72, 0.0, 0.73, 0.75, 0.96, 0.0, 0.0, 0.26, 0.0, 0.69, 0.71, 0.51, 0.65, 0.25, 0.76, 1.0, 0.75, 0.25, 1.0, 0.61, 0.75, 1.0, 0.75, 0.75, 0.75, 0.89, 0.72, 0.51, 0.7, 0.0, 0.75, 0.25, 0.43, 0.42, 0.19, 0.26, 0.77, 0.77, 0.25, 0.3, 0.72, 0.67, 0.78, 0.33, 0.31, 0.83, 0.27, 0.5, 0.27, 0.72, 0.5, 0.5, 0.64, 0.42, 0.25, 0.25]"
1,911392,0.223,0.444,0,2025-02-23 05:09:16.124039,"['32214', '32216', '32217', '32218', '32219', '32221', '32226', '32228', '32234', '32236', '32238', '32240', '32242', '32243', '32245', '32247', '32248', '32249', '32250', '32252', '32261', '32262', '32264', '32265', '32266', '32267', '32270', '32273', '32274', '32275', '32278', '32281', '32283', '32285', '32286']","[1273, 2943, 5692, 5216, 1098, 5195, 5460, 3255, 4322, 4033, 5541, 2050, 2664, 712, 1176, 3029, 4161, 4547, 2498, 3052, 5402, 3406, 2761, 3084, 5700, 2840, 4757, 5256, 3263, 3285, 5110, 506, 3749, 5654, 2505, 1164]","[0.75, 0.69, 1.0, 0.0, 1.0, 0.75, 0.72, 0.25, 0.29, 0.31, 0.68, 0.68, 0.25, 0.68, 0.25, 0.79, 0.27, 0.81, 0.75, 0.78, 1.0, 0.83, 0.75, 0.95, 0.75, 0.71, 1.0, 0.7, 0.25, 0.75, 0.71, 0.25, 0.69, 0.25, 1.0, 0.25, 0.75, 0.69, 0.25, 0.69, 0.72, 0.69, 0.7, 0.69, 0.85, 0.82, 0.73, 0.75, 0.0, 0.31, 0.25, 0.25, 0.75, 0.25, 0.17, 0.85, 0.75, 0.7, 0.2, 0.0, 0.83, 0.67, 0.7, 0.24, 0.67, 0.19, 0.68, 0.75, 0.81, 0.25, 0.68, 0.5, 0.5, 0.32, 0.68]"
2,1240453,0.171,0.694,0,2025-02-23 05:09:16.487386,"['32214', '32216', '32217', '32218', '32219', '32226', '32228', '32234', '32236', '32238', '32240', '32242', '32243', '32245', '32247', '32248', '32249', '32250', '32252', '32258', '32261', '32262', '32264', '32265', '32266', '32267', '32270', '32273', '32274', '32275', '32278', '32281', '32283', '32285', '32286']","[1754, 67, 5778, 2019, 2044, 5609, 2695, 3450, 810, 1856, 760, 1845, 3095, 5687, 5459, 4651, 1265, 5445, 5526, 3608, 3161, 5790, 756, 5276, 5245, 2754, 3200, 2868, 605, 1145, 4725, 411, 1538, 3295, 5134, 3932]","[1.0, 0.9, 1.0, 0.25, 1.0, 1.0, 0.91, 0.88, 0.1, 0.11, 0.89, 0.88, 0.25, 0.89, 1.0, 0.94, 0.09, 0.94, 0.92, 0.93, 1.0, 0.96, 0.0, 0.96, 1.0, 0.9, 1.0, 0.89, 1.0, 1.0, 0.9, 0.0, 0.89, 0.25, 1.0, 0.25, 1.0, 0.91, 0.25, 0.89, 0.91, 0.9, 0.89, 0.9, 1.0, 0.95, 0.91, 0.0, 1.0, 0.1, 0.0, 1.0, 1.0, 1.0, 0.04, 0.96, 0.25, 0.9, 0.06, 0.0, 0.0, 0.17, 0.9, 0.07, 1.0, 0.06, 0.89, 1.0, 0.95, 0.0, 0.9, 0.0, 0.0, 0.1, 0.9]"
3,1008720,0.412,0.306,0,2025-02-23 05:09:16.868576,"['32214', '32215', '32216', '32217', '32218', '32219', '32221', '32226', '32228', '32234', '32236', '32238', '32240', '32242', '32243', '32245', '32247', '32248', '32249', '32250', '32252', '32261', '32262', '32264', '32265', '32266', '32270', '32274', '32278', '32281', '32283', '32284', '32285', '32286', '32288']","[5216, 539, 3481, 2379, 1273, 2505, 1290, 238, 1359, 2840, 4825, 3285, 3052, 3326, 5195, 4062, 216, 2943, 2420, 823, 4161, 2664, 4600, 4846, 2612, 4033, 1098, 4226, 835, 2187, 5460, 3255, 1077, 1553, 2050, 2620]","[0.75, 1.0, 1.0, 0.0, 1.0, 0.75, 0.65, 0.75, 0.34, 0.37, 0.61, 0.62, 0.0, 0.61, 1.0, 0.74, 0.33, 0.76, 0.7, 0.73, 0.0, 0.78, 0.25, 0.95, 1.0, 0.65, 0.0, 0.64, 0.0, 0.75, 0.65, 1.0, 0.64, 1.0, 0.75, 0.75, 1.0, 0.62, 0.0, 0.63, 0.65, 0.62, 0.64, 0.62, 0.85, 0.77, 0.67, 1.0, 0.0, 0.37, 0.25, 0.25, 0.0, 0.34, 0.21, 0.81, 0.25, 0.64, 0.24, 0.71, 1.0, 0.63, 0.63, 0.29, 1.0, 0.23, 0.62, 0.5, 0.77, 0.25, 0.75, 0.75, 0.5, 0.38, 0.5]"
4,1486078,0.406,0.417,0,2025-02-23 05:09:17.224076,"['32216', '32217', '32218', '32219', '32220', '32221', '32226', '32227', '32234', '32236', '32239', '32240', '32242', '32243', '32244', '32245', '32246', '32247', '32248', '32249', '32250', '32253', '32261', '32264', '32265', '32266', '32270', '32273', '32274', '32278', '32281', '32283', '32285', '32286', '32287']","[950, 4547, 5402, 981, 5806, 2843, 5340, 4184, 2044, 1538, 342, 2371, 1164, 5594, 4757, 3249, 2664, 3608, 3084, 331, 5065, 3029, 3706, 4699, 3932, 3255, 295, 1666, 5460, 2281, 67, 2232, 2498, 863, 1919, 4897]","[0.63, 0.79, 0.75, 1.0, 0.0, 1.0, 0.75, 0.25, 0.2, 0.22, 0.77, 0.78, 0.25, 0.75, 0.74, 0.9, 0.19, 0.89, 0.87, 0.89, 1.0, 0.91, 0.0, 0.97, 0.74, 0.0, 1.0, 0.78, 0.0, 0.75, 1.0, 0.0, 1.0, 0.0, 0.75, 0.25, 0.25, 0.8, 0.78, 0.75, 0.81, 0.79, 0.79, 0.79, 0.87, 0.9, 0.81, 0.0, 0.73, 0.21, 0.0, 1.0, 1.0, 0.36, 0.09, 0.92, 1.0, 0.8, 0.11, 0.0, 0.83, 0.64, 0.79, 0.12, 1.0, 0.1, 0.78, 0.5, 0.9, 0.25, 0.78, 0.25, 0.5, 0.0, 0.79]"
5,392965,0.135,0.583,5,2025-02-23 05:09:17.651791,"['32214', '32216', '32219', '32226', '32228', '32233', '32234', '32236', '32238', '32240', '32242', '32243', '32244', '32245', '32247', '32248', '32249', '32252', '32255', '32261', '32262', '32265', '32266', '32267', '32270', '32273', '32274', '32275', '32277', '32278', '32281', '32283', '32285', '32286', '32288']","[1164, 5402, 3255, 1787, 3593, 2044, 3063, 2177, 2420, 3029, 4396, 5256, 3113, 295, 4547, 4725, 2246, 2293, 5609, 3608, 1117, 734, 3572, 2715, 2754, 5157, 4459, 1103, 2695, 3481, 2072, 4500, 810, 440, 4257, 3376]","[0.25, 0.83, 1.0, 0.23, 0.8, 1.0, 0.82, 0.83, 0.16, 0.18, 0.8, 0.8, 0.25, 0.83, 0.75, 0.79, 0.15, 0.83, 0.8, 1.0, 0.75, 0.85, 0.25, 0.94, 0.75, 0.79, 0.25, 0.82, 0.25, 0.0, 1.0, 0.25, 0.81, 0.25, 0.75, 0.25, 0.83, 0.84, 0.25, 0.81, 0.81, 1.0, 0.81, 0.83, 0.8, 0.87, 0.82, 0.25, 0.75, 0.17, 0.19, 0.0, 0.25, 0.25, 0.11, 0.86, 0.75, 0.86, 0.15, 0.25, 1.0, 0.33, 0.82, 0.0, 1.0, 0.13, 0.81, 0.75, 0.88, 0.75, 0.82, 0.0, 0.25, 0.17, 0.5]"
6,1175226,0.351,0.472,5,2025-02-23 05:09:17.950007,"['32214', '32216', '32217', '32218', '32219', '32226', '32228', '32234', '32236', '32238', '32239', '32240', '32242', '32243', '32245', '32247', '32248', '32249', '32252', '32255', '32261', '32262', '32265', '32266', '32267', '32270', '32273', '32274', '32275', '32278', '32281', '32283', '32285', '32286', '32288']","[3029, 3310, 4396, 3084, 598, 5692, 1164, 4702, 2367, 3095, 3406, 5459, 3450, 5256, 3709, 3786, 67, 295, 3249, 342, 2019, 5027, 5340, 3255, 1098, 4866, 756, 5065, 5594, 2761, 5742, 3063, 5245, 981, 114, 214]","[0.75, 0.8, 1.0, 0.0, 1.0, 1.0, 0.79, 0.8, 0.2, 0.21, 0.77, 0.77, 1.0, 0.8, 1.0, 0.82, 0.18, 0.84, 0.83, 0.8, 1.0, 0.86, 0.25, 0.96, 1.0, 0.0, 1.0, 0.79, 0.75, 1.0, 0.78, 0.0, 0.79, 0.75, 1.0, 0.0, 0.8, 0.81, 1.0, 0.78, 0.78, 1.0, 0.78, 0.8, 0.84, 0.88, 0.79, 0.0, 0.0, 0.19, 0.22, 0.75, 1.0, 1.0, 0.1, 0.87, 0.25, 0.83, 0.13, 0.0, 0.5, 0.33, 0.8, 0.19, 0.33, 0.12, 0.78, 0.75, 0.88, 0.5, 0.79, 0.0, 0.5, 0.2, 0.75]"
7,248363,0.361,0.25,5,2025-02-23 05:09:18.268277,"['32217', '32218', '32221', '32222', '32223', '32224', '32225', '32228', '32233', '32234', '32238', '32239', '32241', '32245', '32246', '32248', '32249', '32250', '32251', '32253', '32254', '32255', '32256', '32260', '32262', '32263', '32264', '32276', '32278', '32280', '32283', '32284', '32286', '32287', '32288']","[4226, 1077, 3052, 557, 1740, 2612, 3285, 4119, 1391, 5385, 2948, 637, 3326, 3720, 4723, 4033, 2840, 506, 5908, 823, 5072, 2379, 5195, 930, 539, 882, 2505, 5673, 3694, 5760, 4846, 712, 4600, 3863, 1788, 4825]","[0.72, 0.57, 0.43, 0.0, 0.75, 0.31, 0.56, 0.0, 0.25, 0.25, 1.0, 1.0, 0.66, 0.56, 0.0, 0.71, 0.42, 0.73, 0.7, 1.0, 0.0, 0.75, 0.64, 0.96, 0.0, 0.0, 0.33, 1.0, 0.65, 0.65, 0.55, 1.0, 0.0, 0.73, 1.0, 1.0, 0.75, 1.0, 0.6, 0.25, 0.75, 0.25, 0.75, 0.57, 0.89, 0.78, 0.75, 0.69, 0.25, 0.75, 0.0, 0.37, 0.41, 0.26, 0.19, 0.77, 0.72, 0.58, 0.24, 0.72, 0.54, 0.75, 0.67, 0.29, 1.0, 0.23, 0.67, 0.31, 0.78, 0.25, 0.5, 0.58, 0.75, 0.75, 1.0]"
8,122115,0.261,0.417,5,2025-02-23 05:09:18.639523,"['32214', '32216', '32217', '32218', '32219', '32226', '32228', '32234', '32236', '32238', '32239', '32240', '32242', '32243', '32245', '32247', '32248', '32249', '32252', '32255', '32261', '32262', '32265', '32266', '32267', '32270', '32273', '32274', '32275', '32278', '32281', '32283', '32285', '32286', '32288']","[3749, 3029, 5460, 5216, 1098, 5692, 5208, 342, 3255, 3406, 2498, 5065, 4161, 4757, 2843, 4547, 3474, 2664, 5256, 4322, 5594, 2761, 2505, 4699, 3592, 216, 41, 1666, 4520, 1612, 795, 1316, 4184, 1268, 3285, 3151]","[0.75, 0.77, 1.0, 0.25, 0.75, 0.75, 0.75, 0.76, 0.24, 0.25, 0.73, 0.73, 0.25, 0.76, 0.75, 0.82, 0.21, 0.84, 0.82, 0.8, 0.25, 0.86, 0.75, 0.96, 0.75, 1.0, 0.75, 0.74, 1.0, 0.75, 0.74, 0.25, 0.75, 0.25, 0.25, 0.25, 0.77, 0.77, 0.25, 0.74, 0.75, 0.75, 0.74, 0.76, 0.87, 0.87, 0.74, 0.75, 1.0, 0.23, 0.25, 0.75, 0.75, 1.0, 0.11, 0.86, 0.75, 0.79, 0.14, 0.25, 0.17, 0.67, 0.76, 0.18, 0.67, 0.13, 0.74, 0.5, 0.87, 0.0, 0.75, 0.25, 0.5, 0.23, 0.75]"
9,575246,0.244,0.556,5,2025-02-23 05:09:18.966299,"['32214', '32216', '32217', '32218', '32219', '32224', '32226', '32228', '32234', '32236', '32238', '32239', '32240', '32242', '32243', '32244', '32245', '32247', '32249', '32255', '32261', '32262', '32265', '32266', '32267', '32270', '32273', '32274', '32275', '32278', '32281', '32283', '32285', '32286', '32288']","[1098, 5460, 5692, 4547, 5216, 4987, 5065, 598, 3749, 5340, 3029, 4396, 4184, 295, 2320, 5402, 3593, 2044, 2761, 3255, 1316, 2498, 981, 2843, 1164, 3474, 342, 5256, 1382, 1787, 3608, 3084, 5027, 1293, 3310, 795]","[0.75, 0.8, 0.75, 0.25, 1.0, 1.0, 0.79, 0.77, 0.22, 0.22, 0.75, 0.77, 0.75, 0.79, 0.75, 0.88, 0.18, 0.88, 0.88, 0.86, 0.75, 0.9, 1.0, 0.97, 1.0, 1.0, 1.0, 0.77, 1.0, 0.75, 1.0, 0.25, 0.78, 0.25, 0.78, 0.25, 0.8, 0.8, 0.78, 0.78, 0.78, 0.75, 0.78, 0.79, 0.89, 0.91, 0.77, 0.0, 0.75, 0.21, 0.22, 0.75, 0.75, 0.25, 0.07, 0.9, 0.75, 0.82, 0.1, 0.0, 0.83, 0.67, 0.78, 0.12, 0.83, 0.09, 0.77, 0.75, 0.91, 0.25, 0.78, 0.25, 0.5, 0.2, 0.5]"
