,User,RMSE,CRA,ModelVersion,TimeStamp,Queries
0,555327,0.16521297872616858,0.5833333333333334,0,2024-10-05 13:07:29.435854,"['32214', '32216', '32219', '32224', '32226', '32228', '32229', '32231', '32232', '32233', '32234', '32236', '32238', '32240', '32242', '32243', '32245', '32247', '32248', '32249', '32252', '32253', '32256', '32258', '32259', '32261', '32262', '32266', '32267', '32269', '32270', '32273', '32274', '32275', '32277', '32278', '32281', '32283', '32285', '32286']"
1,978643,0.3539614959084594,0.6388888888888888,0,2024-10-05 13:07:29.819149,"['32214', '32215', '32216', '32217', '32219', '32220', '32223', '32224', '32226', '32236', '32238', '32240', '32241', '32242', '32243', '32244', '32245', '32248', '32249', '32251', '32253', '32254', '32255', '32256', '32257', '32260', '32261', '32262', '32265', '32266', '32267', '32270', '32273', '32274', '32276', '32278', '32281', '32283', '32285', '32287']"
2,1019229,0.17798615101419674,0.75,0,2024-10-05 13:07:30.200039,"['32214', '32215', '32216', '32217', '32219', '32224', '32226', '32228', '32234', '32236', '32238', '32240', '32241', '32242', '32243', '32245', '32247', '32248', '32249', '32252', '32253', '32254', '32256', '32257', '32261', '32262', '32265', '32266', '32267', '32270', '32273', '32274', '32275', '32277', '32278', '32281', '32283', '32285', '32286', '32287']"
3,434704,0.25054993369451406,0.5555555555555556,0,2024-10-05 13:07:30.577130,"['32214', '32215', '32216', '32217', '32219', '32224', '32226', '32228', '32229', '32232', '32234', '32236', '32238', '32240', '32242', '32243', '32245', '32247', '32248', '32249', '32252', '32256', '32258', '32259', '32261', '32262', '32265', '32266', '32267', '32270', '32273', '32274', '32275', '32277', '32278', '32280', '32281', '32283', '32285', '32286']"
4,358308,0.21650401340164283,0.6388888888888888,0,2024-10-05 13:07:30.954081,"['32214', '32215', '32216', '32217', '32219', '32224', '32226', '32228', '32236', '32238', '32240', '32241', '32242', '32243', '32244', '32245', '32247', '32248', '32249', '32253', '32254', '32256', '32257', '32260', '32261', '32262', '32265', '32266', '32267', '32270', '32273', '32274', '32275', '32276', '32278', '32281', '32283', '32285', '32286', '32287']"
5,95133,0.21818436606563438,0.5277777777777778,5,2024-10-05 13:07:31.468382,"['32214', '32216', '32217', '32219', '32224', '32225', '32226', '32228', '32234', '32236', '32238', '32240', '32241', '32242', '32243', '32245', '32247', '32248', '32249', '32251', '32252', '32254', '32261', '32262', '32265', '32266', '32267', '32270', '32271', '32273', '32274', '32275', '32276', '32277', '32278', '32281', '32283', '32285', '32286', '32287']"
6,631451,0.37371383745868125,0.3888888888888889,5,2024-10-05 13:07:31.852008,"['32216', '32217', '32220', '32222', '32223', '32224', '32227', '32228', '32230', '32234', '32238', '32239', '32241', '32242', '32243', '32244', '32245', '32248', '32249', '32250', '32251', '32253', '32254', '32255', '32256', '32257', '32262', '32263', '32265', '32266', '32271', '32273', '32274', '32276', '32278', '32283', '32284', '32285', '32287', '32288']"
7,1494658,0.3143881139167094,0.5,5,2024-10-05 13:07:32.229775,"['32214', '32216', '32217', '32219', '32224', '32225', '32226', '32228', '32234', '32236', '32238', '32240', '32241', '32242', '32243', '32245', '32247', '32248', '32249', '32251', '32252', '32254', '32261', '32262', '32265', '32266', '32267', '32270', '32271', '32273', '32274', '32275', '32276', '32277', '32278', '32281', '32283', '32285', '32286', '32287']"
8,266845,0.313897623927358,0.5,5,2024-10-05 13:07:32.608035,"['32214', '32216', '32219', '32223', '32224', '32225', '32226', '32228', '32234', '32236', '32238', '32240', '32241', '32242', '32243', '32245', '32247', '32248', '32249', '32251', '32252', '32254', '32255', '32257', '32261', '32262', '32263', '32266', '32267', '32270', '32271', '32274', '32275', '32276', '32278', '32281', '32283', '32285', '32286', '32288']"
9,437399,0.3706160034639756,0.6111111111111112,5,2024-10-05 13:07:32.985314,"['32215', '32216', '32217', '32218', '32220', '32221', '32222', '32225', '32228', '32229', '32230', '32231', '32232', '32233', '32234', '32235', '32239', '32246', '32248', '32250', '32252', '32259', '32260', '32264', '32265', '32266', '32268', '32269', '32271', '32272', '32274', '32276', '32277', '32278', '32279', '32280', '32282', '32283', '32286', '32287']"
