,User,RMSE,CRA,ModelVersion,TimeStamp,Queries
0,488590,0.2376023950218157,0.027777777777777776,0,2024-09-26 11:04:23.905851,"['32221', '32225', '32226', '32239', '32242', '32246', '32265', '32274', '32283', '32288']"
1,697805,0.34301049758702823,0.08333333333333333,0,2024-09-26 11:04:24.015441,"['32217', '32229', '32239', '32253', '32263', '32264', '32266', '32271', '32276', '32285']"
2,1041807,0.309693296710992,0.3611111111111111,0,2024-09-26 11:04:24.127007,"['32222', '32229', '32239', '32251', '32263', '32264', '32269', '32279', '32281', '32285']"
3,1270751,0.30787408908720465,0.25,0,2024-09-26 11:04:24.235658,"['32221', '32225', '32231', '32239', '32243', '32245', '32263', '32265', '32275', '32288']"
4,1324695,0.2762316566568528,0.16666666666666666,0,2024-09-26 11:04:24.346005,"['32221', '32226', '32229', '32230', '32236', '32239', '32247', '32261', '32266', '32288']"
5,958705,0.380923702512798,0.08333333333333333,5,2024-09-26 11:04:24.608728,"['32214', '32221', '32226', '32236', '32239', '32251', '32265', '32269', '32281', '32288']"
6,785009,0.34999521564720815,0.19444444444444445,5,2024-09-26 11:04:24.716690,"['32225', '32229', '32249', '32251', '32261', '32265', '32269', '32274', '32283', '32288']"
7,336801,0.3614591548183905,0.2222222222222222,5,2024-09-26 11:04:24.823834,"['32214', '32221', '32226', '32236', '32239', '32261', '32265', '32266', '32281', '32288']"
8,1305553,0.32068074775416283,0.1111111111111111,5,2024-09-26 11:04:24.934990,"['32221', '32226', '32229', '32230', '32243', '32265', '32269', '32274', '32283', '32288']"
9,886399,0.2797570347988858,0.3055555555555556,5,2024-09-26 11:04:25.041475,"['32220', '32221', '32225', '32226', '32230', '32239', '32243', '32265', '32275', '32288']"
10,135456,0.25521509195418046,0.19444444444444445,10,2024-09-26 11:04:25.303703,"['32214', '32220', '32225', '32246', '32247', '32263', '32266', '32270', '32274', '32275']"
11,367151,0.405909047936516,0.1111111111111111,10,2024-09-26 11:04:25.410661,"['32226', '32236', '32243', '32251', '32253', '32266', '32270', '32279', '32285', '32288']"
12,1555233,0.2660595115841233,0.2777777777777778,10,2024-09-26 11:04:25.519521,"['32220', '32221', '32225', '32243', '32247', '32263', '32266', '32274', '32275', '32288']"
13,456977,0.29266789486573924,0.2777777777777778,10,2024-09-26 11:04:25.627008,"['32218', '32226', '32251', '32253', '32266', '32270', '32279', '32283', '32287', '32288']"
14,1221700,0.3444534546312751,0.1388888888888889,10,2024-09-26 11:04:25.735139,"['32226', '32229', '32236', '32239', '32251', '32265', '32266', '32270', '32283', '32288']"
15,1463144,0.3117738879370084,0.05555555555555555,15,2024-09-26 11:04:26.000551,"['32215', '32221', '32225', '32229', '32230', '32236', '32239', '32245', '32261', '32266']"
16,404828,0.2683752498469395,0.027777777777777776,15,2024-09-26 11:04:26.110033,"['32225', '32229', '32236', '32242', '32243', '32245', '32249', '32266', '32270', '32274']"
17,620417,0.3080849335185348,0.0,15,2024-09-26 11:04:26.216773,"['32221', '32226', '32229', '32236', '32239', '32251', '32261', '32264', '32265', '32288']"
18,730425,0.35001598996564465,0.2222222222222222,15,2024-09-26 11:04:26.322892,"['32214', '32229', '32240', '32244', '32253', '32269', '32271', '32279', '32281', '32283']"
19,1245535,0.32122015575168533,0.25,15,2024-09-26 11:04:26.430117,"['32214', '32229', '32230', '32231', '32236', '32239', '32245', '32263', '32266', '32288']"
20,375781,0.27955340275085333,0.0,20,2024-09-26 11:04:26.689774,"['32220', '32221', '32226', '32239', '32245', '32261', '32263', '32266', '32281', '32285']"
21,775238,0.25038898811524757,0.2222222222222222,20,2024-09-26 11:04:26.795932,"['32225', '32231', '32239', '32243', '32245', '32266', '32274', '32275', '32281', '32285']"
