ID_question,0,1,2,3,4,5,6,7,8,9
32214,85,70,75,80,70,70,75,80,80,75
32215,30,30,30,40,30,30,30,30,30,20
32216,50,50,80,70,50,50,60,70,80,70
32217,70,80,80,70,75,75,75,70,80,70
32218,50,50,50,30,30,40,60,50,20,25
32219,30,30,20,20,20,20,30,20,20,30
32220,50,60,50,50,30,70,50,50,50,30
32221,20,20,20,20,20,20,20,20,25,20
32222,50,80,60,90,60,75,80,55,70,70
32223,80,90,75,70,80,75,75,80,80,80
32224,30,10,20,20,20,20,20,20,20,20
32225,60,85,80,70,70,70,75,70,85,65
32226,50,50,50,50,50,50,50,50,50,50
32227,70,80,90,80,80,85,75,70,75,75
32228,30,30,30,30,30,30,30,30,30,30
32229,70,80,80,80,80,80,80,80,80,75
32230,60,70,50,60,50,50,50,50,50,50
32231,80,50,50,60,50,50,80,80,50,60
32232,75,70,65,60,60,65,65,70,70,70
32233,60,50,60,50,80,80,70,65,80,65
32234,30,30,30,50,30,50,0,30,25,50
32235,100,100,100,100,100,100,100,100,100,100
32236,90,90,80,90,90,90,85,85,90,85
32237,100,100,100,100,100,100,100,100,100,100
32238,10,10,10,20,20,15,20,20,15,10
32239,30,20,50,30,30,30,30,50,20,30
32240,20,20,20,20,25,20,20,20,20,20
32241,25,20,30,30,30,20,30,25,25,30
32242,100,100,100,100,100,100,100,100,100,100
32243,75,70,60,70,80,80,80,80,70,80
32244,20,35,30,30,30,50,50,30,30,20
32245,100,80,85,85,80,95,80,100,80,80
32246,20,0,20,20,0,0,0,15,0,20
32247,85,80,90,90,75,90,85,85,80,90
32248,25,50,50,60,60,30,35,50,50,30
32249,70,80,75,60,70,70,70,75,75,70
32250,75,70,70,80,85,80,70,80,60,75
32251,30,75,50,70,50,80,45,50,65,60
32252,50,50,20,30,30,30,40,30,50,30
32253,70,80,70,70,70,85,70,70,70,80
32254,30,40,50,30,50,30,50,40,50,50
32255,30,40,20,40,60,70,50,80,70,50
32256,60,50,70,60,60,65,50,65,60,50
32257,60,70,70,70,70,80,70,85,80,70
32258,100,100,100,100,100,100,100,100,100,100
32259,50,75,60,70,70,70,80,70,70,85
32260,60,55,60,50,35,40,50,60,50,50
32261,70,80,70,80,80,80,80,80,70,75
32262,30,40,50,30,30,25,0,20,50,30
32263,100,80,100,80,80,80,100,100,90,100
32264,50,50,60,30,50,30,50,40,30,50
32265,75,70,80,75,80,80,75,70,60,80
32266,0,0,0,0,0,0,0,0,0,0
32267,20,30,30,20,20,25,30,30,30,30
32268,20,20,25,20,20,20,15,20,20,20
32269,75,70,70,70,70,70,70,70,70,75
32270,100,90,100,85,95,80,85,100,100,90
32271,60,50,70,75,70,60,70,60,70,70
32272,20,15,0,20,20,30,20,30,20,25
32273,70,80,65,70,50,70,75,75,80,50
32274,80,70,70,70,80,70,50,70,70,70
32275,90,100,100,90,90,100,100,95,90,100
32276,35,30,25,20,30,20,30,30,30,25
32277,30,30,45,33,30,30,20,20,20,30
32278,90,85,85,85,80,90,85,85,85,85
32279,30,20,20,30,20,20,30,30,25,20
32280,30,30,30,30,30,30,30,35,30,30
32281,40,50,30,30,30,30,40,50,50,35
32282,80,60,65,80,70,75,80,80,80,80
32283,30,40,30,50,30,30,25,30,30,30
32284,50,50,40,60,30,50,50,50,50,50
32285,60,50,50,50,50,50,50,60,30,50
32286,50,50,60,50,50,50,50,50,50,50
32287,50,50,50,65,45,50,50,50,50,50
32288,30,30,45,40,30,30,30,30,30,30
