ID_question,0,1,2,3,4,5,6,7,8,9
32214,60,70,90,50,70,50,60,75,65,60
32215,80,80,70,75,50,70,70,60,60,60
32216,50,60,0,50,70,50,70,50,50,45
32217,70,80,70,40,70,65,70,50,50,50
32218,80,85,80,100,75,90,100,80,100,70
32219,60,70,50,65,75,60,50,50,50,55
32220,50,80,50,50,70,60,70,70,60,80
32221,75,60,80,80,60,80,50,50,60,100
32222,20,50,40,30,30,45,20,30,50,60
32223,60,20,50,75,65,50,50,65,30,70
32224,70,20,50,70,75,50,30,50,75,70
32225,85,80,80,80,90,80,85,85,85,95
32226,50,50,50,50,50,50,50,50,50,50
32227,90,100,100,100,100,85,100,95,100,100
32228,50,50,60,50,50,50,50,50,50,65
32229,80,70,75,80,70,85,75,70,80,70
32230,50,50,50,50,20,30,50,40,30,30
32231,100,80,100,100,100,100,100,100,80,100
32232,80,80,80,90,100,85,70,85,80,75
32233,80,70,80,75,80,75,70,70,80,70
32234,80,70,70,70,80,80,70,70,75,60
32235,100,100,100,100,100,100,100,100,100,100
32236,50,50,60,50,50,50,50,50,50,50
32237,100,100,100,100,100,100,100,100,100,100
32238,50,50,50,100,40,60,70,50,65,70
32239,70,70,50,70,60,80,75,75,75,60
32240,50,20,50,45,30,50,50,50,30,50
32241,50,50,55,50,50,70,50,50,50,60
32242,80,100,100,100,100,100,100,100,85,100
32243,50,60,60,60,50,68,70,50,30,70
32244,100,70,100,100,100,100,85,100,80,100
32245,50,50,40,30,30,50,50,60,30,50
32246,75,70,80,80,80,70,75,100,50,80
32247,70,80,80,70,70,80,60,80,80,80
32248,70,50,60,75,50,65,50,60,80,70
32249,10,0,10,20,0,20,15,20,30,10
32250,100,100,80,90,80,100,100,80,85,100
32251,85,100,80,95,80,70,70,80,85,80
32252,20,30,40,40,30,30,50,50,50,50
32253,100,85,100,100,100,80,100,100,100,100
32254,80,85,85,75,80,85,80,75,80,80
32255,70,85,100,90,70,70,80,80,70,80
32256,80,90,100,85,90,85,85,90,90,80
32257,90,90,100,100,90,100,85,90,100,90
32258,100,100,100,100,100,100,90,100,100,100
32259,70,75,80,70,60,80,80,70,80,80
32260,80,85,80,80,80,85,85,80,85,80
32261,50,50,70,70,30,70,75,50,75,70
32262,100,100,100,100,100,100,100,100,100,100
32263,70,100,50,100,75,80,75,70,100,100
32264,20,20,10,20,20,20,30,20,20,30
32265,50,70,80,70,75,60,60,75,70,60
32266,0,0,0,0,0,0,0,0,0,0
32267,50,60,70,30,70,50,50,70,50,45
32268,25,10,10,15,10,20,10,20,10,20
32269,70,70,90,70,80,70,80,85,70,80
32270,85,80,70,80,80,80,70,75,80,80
32271,90,100,80,80,100,80,85,85,100,100
32272,15,10,20,15,20,20,10,20,10,20
32273,30,25,20,20,30,35,30,30,30,30
32274,30,50,50,30,20,40,30,50,30,30
32275,85,80,80,80,70,80,70,80,70,70
32276,70,70,75,75,70,70,75,60,65,65
32277,20,20,20,20,30,30,30,30,30,30
32278,85,85,85,85,85,80,85,85,90,85
32279,25,20,20,15,20,10,20,20,20,20
32280,80,85,90,90,85,85,90,85,90,80
32281,50,70,50,50,70,50,50,50,50,50
32282,85,80,90,80,70,80,80,80,90,75
32283,50,30,30,50,30,50,50,40,40,30
32284,75,70,80,70,80,70,75,70,80,70
32285,50,30,20,30,30,30,30,30,50,30
32286,50,50,50,50,75,50,50,50,50,50
32287,30,30,30,20,35,35,30,30,30,30
32288,70,80,80,70,75,75,60,80,70,70
