ID_question,0,1,2,3,4,5,6,7,8,9
32214,10,20,20,20,0,20,10,15,10,10
32215,100,100,100,80,100,100,100,100,100,100
32216,100,100,50,100,100,100,50,50,100,65
32217,0,0,0,0,0,0,0,0,0,0
32218,100,100,100,100,100,100,100,100,100,100
32219,100,100,100,100,100,90,100,90,90,100
32220,70,85,60,50,70,80,70,80,60,50
32221,80,80,80,80,100,80,70,90,80,75
32222,20,10,10,15,20,20,30,20,30,20
32223,30,30,30,30,30,25,30,30,35,30
32224,80,75,80,60,60,70,70,70,70,80
32225,90,100,100,100,100,100,100,100,100,100
32226,30,25,20,25,30,20,20,33,30,20
32227,100,100,100,100,100,100,100,100,100,100
32228,80,80,80,70,80,80,70,75,75,70
32229,70,75,70,70,70,70,70,60,65,60
32230,10,10,20,10,0,10,10,0,0,0
32231,100,100,100,100,100,100,100,100,100,100
32232,100,100,100,100,100,100,100,100,100,100
32233,70,80,100,80,70,70,70,80,85,100
32234,100,100,100,100,100,100,100,100,100,100
32235,100,100,100,100,100,100,100,100,100,100
32236,30,20,20,20,25,20,30,20,30,30
32237,100,100,100,100,100,100,100,100,100,100
32238,100,100,100,100,100,100,100,80,100,100
32239,100,100,100,80,100,100,100,100,100,100
32240,100,70,85,80,100,100,100,80,100,75
32241,70,80,80,85,80,80,85,70,70,80
32242,80,80,80,60,50,70,70,70,70,75
32243,30,25,15,30,20,20,20,20,20,20
32244,100,100,100,100,100,100,100,100,100,100
32245,10,20,20,0,10,10,10,20,20,15
32246,100,100,100,100,100,100,100,100,100,100
32247,35,30,35,30,40,35,30,30,30,40
32248,30,55,60,30,30,30,30,30,60,50
32249,0,0,0,0,0,0,0,0,0,0
32250,100,100,100,100,100,100,100,100,100,100
32251,90,100,85,100,85,100,90,75,90,90
32252,30,20,30,20,20,20,30,30,30,20
32253,100,100,100,100,100,100,100,100,100,100
32254,100,100,100,100,100,100,100,100,100,100
32255,100,100,100,100,100,100,100,100,100,100
32256,100,100,100,100,100,100,100,100,100,100
32257,100,100,100,100,100,100,100,100,100,100
32258,50,50,70,50,60,50,70,80,50,80
32259,60,60,80,80,85,80,80,80,70,70
32260,90,90,90,100,90,100,90,80,85,95
32261,30,15,30,50,0,30,50,25,30,30
32262,100,100,100,100,100,100,100,100,100,100
32263,60,70,50,50,100,70,60,90,0,80
32264,10,20,10,5,15,10,10,10,0,10
32265,20,20,20,25,20,30,15,10,30,30
32266,0,0,0,0,0,0,0,0,0,0
32267,90,90,90,90,80,80,90,90,85,80
32268,0,10,0,5,0,0,0,0,0,5
32269,70,80,80,85,80,80,70,80,80,75
32270,15,20,30,25,30,30,30,20,20,10
32271,100,100,100,100,100,100,100,100,100,100
32272,10,0,0,10,10,0,0,0,10,10
32273,30,20,25,35,30,30,30,10,20,50
32274,30,30,30,20,50,20,20,20,30,10
32275,30,30,30,30,30,30,30,20,30,35
32276,95,90,90,85,90,90,85,90,85,90
32277,20,20,20,30,20,15,25,20,20,20
32278,80,70,70,75,65,80,80,80,70,70
32279,5,10,10,10,10,10,10,5,0,10
32280,100,100,100,100,100,100,100,100,100,100
32281,100,80,80,80,90,80,80,75,80,100
32282,100,100,100,100,100,100,100,100,100,100
32283,50,50,50,50,50,50,30,70,50,40
32284,95,100,85,100,100,85,90,100,80,100
32285,10,20,10,10,15,10,10,5,10,10
32286,30,20,50,40,30,30,50,30,30,30
32287,20,10,20,20,20,10,20,10,20,20
32288,100,100,85,100,85,100,100,100,90,100
