ID_question,0,1,2,3,4,5,6,7,8,9
32214,50,50,50,60,50,50,50,50,60,50
32215,70,80,80,75,80,75,80,60,85,70
32216,50,0,50,50,50,70,50,80,50,50
32217,0,50,50,50,50,50,50,25,50,75
32218,80,75,80,70,80,85,75,70,85,80
32219,50,70,70,70,70,70,70,80,60,70
32220,80,70,85,80,80,60,70,70,70,80
32221,65,50,50,60,50,50,70,50,50,50
32222,30,35,30,20,60,45,30,60,40,30
32223,35,30,50,50,50,65,50,50,70,35
32224,50,70,75,60,70,70,75,70,80,70
32225,90,85,90,85,80,90,90,80,85,90
32226,45,50,50,50,50,50,70,50,50,50
32227,90,90,90,90,85,90,80,85,100,90
32228,50,50,30,50,50,50,60,50,50,50
32229,70,70,70,70,80,80,70,70,60,75
32230,45,20,40,30,20,30,30,30,40,30
32231,80,80,80,80,70,100,80,100,80,100
32232,60,50,50,75,75,60,50,60,70,60
32233,70,70,60,50,60,50,60,50,50,100
32234,60,70,60,80,60,70,65,50,50,50
32235,100,100,100,100,100,100,100,100,100,100
32236,50,50,50,50,50,50,50,65,50,50
32237,100,100,100,100,100,100,70,100,80,100
32238,65,60,50,50,75,60,70,50,60,60
32239,90,80,80,80,70,80,80,70,80,70
32240,50,50,50,50,70,70,50,65,50,60
32241,60,60,60,60,70,50,60,60,60,60
32242,80,80,80,70,80,80,75,80,80,90
32243,40,35,20,60,60,40,60,30,30,50
32244,70,80,70,75,80,70,70,90,100,70
32245,70,70,55,60,70,60,50,50,70,60
32246,60,50,60,50,50,50,50,50,50,50
32247,60,60,70,60,60,60,75,60,70,70
32248,65,60,50,30,40,50,45,50,65,50
32249,35,30,50,50,30,30,30,30,30,30
32250,100,100,100,100,100,100,100,100,100,100
32251,80,75,70,70,70,70,65,70,80,70
32252,50,50,50,40,30,30,40,50,50,50
32253,80,85,80,90,85,85,90,75,80,80
32254,70,70,75,70,80,80,80,80,80,75
32255,80,80,80,75,80,70,60,70,70,80
32256,80,75,85,80,90,85,75,85,85,75
32257,90,85,85,85,85,90,85,90,90,90
32258,90,90,80,90,80,80,85,90,85,80
32259,80,80,70,80,85,80,70,80,70,85
32260,85,70,70,70,80,85,85,80,80,80
32261,50,50,50,50,60,60,50,50,50,45
32262,50,70,50,70,50,50,75,70,70,50
32263,80,75,100,70,85,100,80,100,65,100
32264,30,40,50,50,30,50,50,30,30,50
32265,70,60,65,60,50,70,75,70,70,70
32266,0,0,0,0,0,0,0,0,0,0
32267,60,50,40,50,30,30,20,30,50,60
32268,10,20,10,15,25,15,10,20,10,10
32269,85,85,70,75,80,80,80,75,70,80
32270,80,70,70,75,60,70,60,70,75,70
32271,80,85,100,80,85,78,90,85,90,90
32272,30,20,20,20,20,15,0,10,20,20
32273,65,70,70,50,60,50,40,60,50,40
32274,70,50,75,70,40,40,40,70,60,65
32275,70,70,70,70,75,70,70,70,70,70
32276,70,70,70,70,70,70,70,80,80,75
32277,30,45,30,30,50,20,40,30,40,40
32278,80,80,75,80,80,80,80,85,80,80
32279,20,30,20,20,20,20,20,20,25,20
32280,85,85,80,85,85,90,75,75,85,90
32281,80,65,60,70,75,75,75,70,70,70
32282,80,80,70,70,70,80,70,70,85,75
32283,50,50,70,50,50,50,50,50,50,50
32284,75,75,70,80,70,80,80,80,70,70
32285,50,50,50,45,50,50,50,50,50,50
32286,70,50,50,60,50,50,50,50,50,60
32287,50,50,50,50,50,50,50,50,50,50
32288,70,70,60,75,70,80,75,60,65,80
