ID_question,0,1,2,3,4,5,6,7,8,9
32214,75,80,65,70,75,65,100,100,80,80
32215,30,40,20,30,20,30,30,20,30,30
32216,0,100,0,0,80,80,80,100,0,75
32217,0,35,0,100,80,0,0,20,30,50
32218,10,30,30,20,20,20,20,20,10,20
32219,25,15,10,20,15,20,20,20,20,10
32220,20,30,20,30,20,30,25,20,0,25
32221,0,0,10,20,20,0,0,0,20,0
32222,80,80,100,70,80,80,80,75,100,70
32223,100,85,85,100,100,90,100,80,100,100
32224,15,15,0,20,25,0,20,20,10,20
32225,50,70,60,50,75,80,80,100,70,70
32226,70,85,80,60,90,80,100,70,70,100
32227,25,20,50,25,30,35,35,30,30,30
32228,5,10,5,20,10,0,5,10,0,10
32229,60,30,50,30,20,50,30,30,20,30
32230,100,80,100,100,100,80,100,80,90,100
32231,20,0,0,0,0,0,0,0,0,0
32232,15,20,20,20,20,20,20,20,20,20
32233,30,0,50,30,20,0,30,30,0,50
32234,0,0,0,5,0,0,10,0,0,0
32235,50,50,50,75,30,70,50,50,50,80
32236,80,100,100,100,90,90,85,100,85,90
32237,100,100,100,100,100,100,100,100,100,100
32238,0,0,0,0,0,0,0,0,0,0
32239,20,30,25,20,10,20,40,30,25,25
32240,20,0,0,0,20,0,0,0,0,30
32241,20,20,20,30,20,20,25,25,20,20
32242,90,100,100,100,100,100,100,100,100,100
32243,70,80,80,80,85,65,80,70,80,75
32244,30,25,30,30,20,20,20,20,50,20
32245,100,100,100,100,100,100,100,100,100,100
32246,0,0,0,0,0,0,0,0,0,0
32247,70,80,100,70,90,90,80,80,80,70
32248,30,30,20,20,20,20,20,35,20,30
32249,80,100,80,80,100,85,80,80,80,80
32250,80,75,85,100,70,80,70,80,90,80
32251,20,20,30,10,10,20,30,20,25,20
32252,20,20,20,10,20,10,20,20,10,20
32253,85,100,0,0,50,50,30,60,70,50
32254,25,35,20,20,25,30,20,35,30,30
32255,25,30,0,30,20,30,50,60,50,40
32256,40,30,25,30,25,20,20,40,50,30
32257,25,30,50,25,35,20,20,20,30,30
32258,90,100,100,100,100,80,80,100,90,100
32259,30,20,30,15,20,25,20,25,20,30
32260,20,25,40,20,30,30,30,30,20,30
32261,80,80,80,100,60,100,80,100,100,65
32262,0,0,10,0,0,0,0,0,0,0
32263,100,100,100,100,100,100,100,100,100,100
32264,100,100,70,80,100,100,100,100,85,100
32265,15,30,20,20,20,45,30,20,60,20
32266,0,0,0,0,0,0,0,0,0,0
32267,30,30,20,20,20,30,30,30,20,30
32268,85,80,80,70,85,75,80,80,70,70
32269,20,10,20,20,25,20,30,30,25,25
32270,100,70,80,80,100,85,95,80,80,90
32271,20,20,30,15,30,20,30,30,30,30
32272,100,85,85,85,90,80,80,100,80,90
32273,85,90,80,80,90,85,85,90,80,80
32274,80,90,80,70,90,85,70,90,70,85
32275,90,90,90,95,85,90,85,90,90,90
32276,20,20,25,15,20,20,20,20,20,25
32277,70,80,70,80,60,80,70,60,70,80
32278,70,50,50,65,40,50,70,70,50,80
32279,70,75,80,60,70,70,85,80,80,70
32280,30,25,20,30,30,30,20,30,20,20
32281,30,30,20,30,20,20,30,20,30,30
32282,30,35,30,30,30,30,50,20,50,30
32283,70,75,75,80,80,70,85,80,100,100
32284,30,30,30,30,30,25,30,30,30,30
32285,80,80,70,80,70,70,80,80,60,100
32286,100,90,100,80,100,70,100,80,80,80
32287,70,80,80,80,100,70,100,85,85,85
32288,20,20,20,20,20,20,10,15,20,20
