ID_question,0,1,2,3,4,5,6,7,8,9
32214,50,50,50,50,0,50,70,50,50,73
32215,50,80,50,0,50,100,60,100,47,50
32216,40,50,80,50,100,60,75,50,50,50
32217,0,0,0,50,0,50,0,40,50,0
32218,60,100,74,60,75,50,80,100,100,50
32219,50,50,60,50,50,40,60,50,70,50
32220,50,0,35,30,75,0,50,30,60,0
32221,50,50,50,50,50,50,50,50,50,50
32222,50,70,80,0,50,80,50,50,50,50
32223,100,80,85,80,80,72,100,100,61,60
32224,0,50,50,50,0,0,30,50,0,0
32225,80,80,55,100,80,100,100,80,70,100
32226,50,50,70,50,50,50,50,50,50,30
32227,85,100,85,100,50,50,75,55,70,100
32228,75,50,50,50,50,50,50,50,80,75
32229,50,85,80,50,65,50,50,50,50,50
32230,45,50,0,50,50,0,60,55,50,60
32231,50,0,80,50,50,75,100,80,100,100
32232,50,50,50,80,79,50,50,70,60,50
32233,50,0,75,50,50,100,50,100,85,100
32234,50,50,50,50,50,50,60,50,100,50
32235,100,100,100,100,100,100,100,100,100,100
32236,50,50,50,50,75,60,50,50,50,50
32237,0,100,100,100,100,0,100,100,50,100
32238,50,50,0,50,0,70,0,50,0,50
32239,50,75,50,50,50,80,50,50,50,75
32240,75,50,50,50,50,0,50,50,50,0
32241,50,50,50,50,50,50,50,70,50,50
32242,50,100,75,50,100,100,100,100,85,100
32243,50,80,50,50,50,15,80,50,25,50
32244,50,50,80,50,50,50,50,60,50,50
32245,60,50,50,50,87,50,50,55,72,50
32246,50,52,0,50,50,50,40,50,50,50
32247,50,65,75,85,65,80,80,80,75,50
32248,60,50,30,30,30,20,25,20,50,20
32249,50,50,63,50,100,50,50,50,50,50
32250,100,100,100,70,100,100,100,100,100,80
32251,70,50,50,50,50,50,50,60,40,60
32252,50,50,30,50,50,50,50,50,50,60
32253,100,80,100,50,100,70,100,100,50,100
32254,50,50,100,30,50,50,50,50,75,50
32255,50,50,70,85,50,100,100,100,70,50
32256,50,100,85,50,60,50,90,50,60,60
32257,60,50,85,100,82,75,75,70,88,100
32258,50,100,50,80,100,100,100,100,100,100
32259,70,50,50,100,60,30,70,70,0,40
32260,50,78,50,70,70,50,50,50,40,70
32261,65,50,75,100,100,70,100,50,80,100
32262,50,50,50,50,50,50,50,0,50,50
32263,80,100,90,75,100,100,100,100,100,100
32264,0,50,0,30,0,50,0,50,50,0
32265,50,50,50,50,50,50,50,50,50,50
32266,0,0,0,0,0,0,0,0,0,0
32267,50,80,80,50,60,50,50,50,50,60
32268,0,50,70,75,90,50,50,35,35,55
32269,60,50,50,50,50,50,50,50,50,50
32270,50,50,70,80,70,50,80,70,60,70
32271,20,100,76,70,90,80,85,70,40,50
32272,50,0,50,0,50,70,0,50,45,50
32273,70,50,70,100,80,85,80,70,70,80
32274,50,30,25,20,60,80,40,50,30,45
32275,90,70,80,80,90,70,70,70,70,100
32276,40,40,40,35,25,40,50,52,20,20
32277,50,50,50,50,50,50,50,50,50,50
32278,70,80,70,70,70,80,70,75,85,70
32279,20,30,35,30,30,30,20,25,20,20
32280,85,80,85,65,75,35,75,70,70,75
32281,50,50,50,50,100,50,50,50,50,50
32282,50,60,73,70,70,80,50,70,70,70
32283,75,50,50,50,50,50,50,50,50,50
32284,50,50,65,50,50,50,50,50,50,52
32285,50,50,50,50,50,30,50,50,50,50
32286,50,50,50,50,50,50,50,80,50,50
32287,60,50,40,50,50,54,50,50,50,50
32288,30,50,50,50,50,35,0,0,50,100
