ID_question,0,1,2,3,4,5,6,7,8,9
32214,50,0,85,65,20,10,0.0,0,80,0
32215,50,30,60,60,40,45,50.0,80,50,30
32216,0,85,20,0,0,0,0.0,0,37,20
32217,0,0,0,10,0,5,0.0,5,0,0
32218,30,0,20,30,15,35,20.0,0,69,0
32219,30,45,30,30,20,30,40.0,30,15,30
32220,20,0,20,0,25,0,40.0,35,0,33
32221,30,0,0,0,0,0,0.0,15,0,0
32222,50,87,20,40,80,0,70.0,0,35,60
32223,100,100,90,100,100,90,80.0,100,100,90
32224,0,20,30,80,35,0,30.0,40,20,0
32225,20,75,70,80,70,100,85.0,70,80,60
32226,83,65,100,100,50,85,50.0,80,50,50
32227,80,75,100,70,60,40,65.0,80,50,30
32228,25,25,0,20,10,15,20.0,0,25,0
32229,40,25,25,35,30,10,30.0,20,20,0
32230,100,100,70,40,50,75,75.0,100,75,95
32231,0,0,0,0,0,0,0.0,0,0,0
32232,15,0,0,10,0,0,0.0,0,0,0
32233,0,0,0,0,0,0,0.0,0,0,10
32234,0,0,0,0,0,0,0.0,0,0,0
32235,10,0,30,20,10,25,30.0,35,0,27
32236,30,50,50,30,75,50,33.0,70,85,0
32237,100,100,0,0,0,0,100.0,0,0,0
32238,0,0,0,20,10,0,0.0,0,0,10
32239,40,25,75,75,25,35,40.0,20,65,75
32240,45,0,0,25,60,50,60.0,20,65,25
32241,35,25,40,35,50,60,25.0,40,50,0
32242,50,88,100,85,80,80,,80,100,80
32243,40,30,40,30,80,40,90.0,25,30,70
32244,50,50,50,50,30,60,40.0,50,50,50
32245,70,80,80,75,100,100,75.0,90,80,65
32246,70,0,0,0,30,0,0.0,0,30,25
32247,60,30,30,35,20,35,50.0,20,30,30
32248,20,20,30,25,10,10,20.0,20,15,20
32249,50,100,100,50,75,80,50.0,30,100,100
32250,100,100,100,100,85,100,70.0,80,100,100
32251,0,20,20,0,10,0,30.0,0,25,0
32252,30,20,20,20,30,35,20.0,20,0,10
32253,70,100,20,100,20,26,0.0,30,0,100
32254,50,50,50,60,0,50,65.0,100,50,30
32255,50,55,70,100,70,100,70.0,65,100,60
32256,60,75,50,70,50,60,60.0,30,60,40
32257,50,45,80,50,80,65,75.0,80,65,20
32258,40,35,40,30,75,50,50.0,60,50,100
32259,10,20,20,20,40,50,20.0,10,20,20
32260,85,50,60,65,40,70,60.0,49,75,70
32261,45,60,50,80,65,0,40.0,100,70,30
32262,10,0,0,10,0,0,0.0,0,0,0
32263,90,100,100,100,100,100,100.0,80,100,100
32264,100,70,60,100,80,100,80.0,100,100,90
32265,0,0,0,100,25,20,0.0,75,25,20
32266,0,0,0,0,0,0,0.0,0,10,0
32267,0,30,0,50,50,65,20.0,25,40,20
32268,90,90,100,85,75,70,95.0,80,70,70
32269,30,20,0,30,20,30,25.0,30,30,20
32270,70,40,80,30,50,30,50.0,30,50,40
32271,80,90,70,50,100,80,80.0,60,75,50
32272,100,85,100,70,80,75,75.0,90,70,75
32273,90,100,80,80,75,70,80.0,70,80,75
32274,70,50,50,65,80,30,80.0,70,60,70
32275,40,60,20,25,30,60,50.0,15,20,40
32276,20,30,20,25,20,20,10.0,20,10,30
32277,80,80,80,100,80,75,80.0,95,80,90
32278,20,30,50,40,30,30,45.0,30,10,40
32279,60,60,75,40,30,85,76.0,70,80,30
32280,50,20,50,22,30,50,10.0,25,30,50
32281,50,55,30,60,60,30,50.0,30,30,50
32282,40,50,60,45,50,25,80.0,60,50,50
32283,50,80,68,50,80,80,50.0,100,80,50
32284,30,0,50,50,50,50,70.0,50,50,70
32285,35,50,50,50,40,50,30.0,50,100,50
32286,55,83,60,80,80,70,100.0,80,100,80
32287,50,80,100,70,100,80,65.0,50,50,75
32288,20,30,40,20,30,30,30.0,30,50,0
