ID_question,0,1,2,3,4,5,6,7,8,9
32214,20,20,50,20,27,20.0,50,25,20,50
32215,100,70,70,80,100,60.0,70,75,85,90
32216,0,50,30,60,60,50.0,5,75,50,75
32217,10,0,25,0,0,20.0,0,0,30,35
32218,100,80,80,79,100,80.0,90,75,75,100
32219,75,75,80,75,75,85.0,80,60,75,70
32220,50,60,79,80,50,50.0,68,50,25,60
32221,50,50,30,35,85,50.0,70,50,50,60
32222,40,64,60,15,35,29.0,20,30,20,25
32223,50,73,85,50,90,70.0,80,45,50,75
32224,30,50,30,80,80,70.0,50,70,50,70
32225,83,100,78,85,90,100.0,100,95,95,100
32226,45,50,60,20,45,30.0,62,50,50,80
32227,100,90,100,90,100,100.0,100,75,85,85
32228,35,25,40,30,30,,50,50,25,50
32229,60,50,50,70,75,50.0,60,75,75,38
32230,0,52,30,73,30,45.0,40,40,25,58
32231,50,70,80,60,80,100.0,80,65,70,100
32232,20,15,30,15,15,30.0,20,15,20,20
32233,20,0,25,30,20,0.0,0,10,25,10
32234,50,35,50,26,30,20.0,60,25,60,35
32235,100,100,85,100,100,100.0,100,100,100,100
32236,50,65,30,40,30,30.0,30,30,30,30
32237,35,50,75,100,80,60.0,70,67,40,65
32238,85,50,30,100,25,50.0,60,25,70,50
32239,75,75,80,85,80,90.0,89,75,85,70
32240,70,75,50,100,50,100.0,80,85,60,80
32241,65,50,65,65,68,70.0,50,55,40,68
32242,80,70,60,60,60,65.0,70,80,75,80
32243,30,20,30,30,15,20.0,20,30,35,30
32244,80,100,100,100,85,85.0,75,85,100,80
32245,30,60,50,50,42,50.0,30,70,50,30
32246,70,30,75,80,65,55.0,20,60,47,30
32247,60,30,25,60,40,45.0,70,35,60,60
32248,30,65,40,30,30,10.0,20,25,25,65
32249,0,10,20,0,0,40.0,10,0,20,0
32250,100,100,100,100,100,100.0,100,100,100,100
32251,60,70,82,30,55,75.0,25,85,30,75
32252,45,35,10,30,25,20.0,25,40,30,50
32253,90,100,100,90,100,90.0,85,100,85,85
32254,85,80,85,80,90,90.0,80,90,90,90
32255,100,75,100,80,70,100.0,70,100,70,70
32256,70,80,95,100,85,100.0,85,85,90,85
32257,90,90,90,90,80,100.0,90,80,90,100
32258,90,80,90,60,78,80.0,75,70,80,90
32259,65,80,75,80,80,60.0,70,65,60,60
32260,85,90,80,85,75,75.0,70,80,70,100
32261,80,60,30,75,0,50.0,60,35,0,60
32262,50,0,50,20,70,70.0,25,50,60,20
32263,100,80,55,80,100,70.0,100,100,100,80
32264,30,50,35,50,30,50.0,0,45,30,25
32265,50,30,34,25,40,50.0,50,40,30,70
32266,0,0,0,0,0,0.0,0,0,0,0
32267,57,50,100,60,80,65.0,55,70,50,60
32268,25,25,15,15,45,30.0,30,20,20,15
32269,70,60,70,70,60,75.0,80,80,60,70
32270,40,50,40,70,50,20.0,40,30,50,70
32271,100,70,100,75,100,90.0,90,80,90,100
32272,15,0,15,34,25,20.0,20,15,25,20
32273,50,80,70,80,70,40.0,90,70,100,100
32274,50,20,30,40,30,30.0,70,30,60,45
32275,60,65,37,60,50,70.0,60,50,70,40
32276,60,80,75,70,60,57.0,60,70,75,64
32277,100,60,50,40,55,70.0,50,50,30,50
32278,60,50,70,75,60,70.0,60,60,70,75
32279,15,15,20,20,30,20.0,15,20,15,20
32280,90,90,95,90,95,90.0,90,85,90,96
32281,80,70,85,70,60,70.0,100,70,90,80
32282,100,70,85,70,100,80.0,70,75,90,85
32283,70,50,65,60,70,50.0,60,50,73,50
32284,70,85,70,80,75,80.0,70,70,60,80
32285,30,50,20,30,30,30.0,50,37,34,25
32286,60,60,50,50,50,40.0,50,65,55,60
32287,30,30,40,30,20,30.0,50,40,30,45
32288,80,100,70,80,100,70.0,80,70,70,70
