ID_question,0,1,2,3,4,5,6,7,8,9
32214,0,0.0,10,20.0,10,10.0,25.0,20.0,10.0,10
32215,100,100.0,100,100.0,100,100.0,100.0,100.0,100.0,100
32216,90,60.0,70,,100,65.0,80.0,63.0,70.0,65
32217,0,0.0,0,0.0,0,0.0,15.0,10.0,0.0,0
32218,100,100.0,100,100.0,100,100.0,100.0,100.0,90.0,100
32219,100,100.0,100,90.0,100,90.0,100.0,100.0,85.0,100
32220,90,70.0,78,65.0,70,78.0,70.0,73.0,60.0,50
32221,65,75.0,75,70.0,100,80.0,60.0,50.0,75.0,60
32222,20,10.0,15,10.0,2,10.0,0.0,20.0,10.0,20
32223,30,80.0,25,25.0,25,60.0,42.0,20.0,20.0,80
32224,100,85.0,80,80.0,90,100.0,100.0,60.0,100.0,90
32225,100,80.0,100,100.0,100,100.0,85.0,90.0,77.0,75
32226,25,30.0,12,20.0,25,30.0,30.0,15.0,40.0,50
32227,100,100.0,100,100.0,100,100.0,100.0,100.0,100.0,100
32228,80,,85,70.0,80,75.0,100.0,90.0,70.0,75
32229,100,70.0,70,65.0,80,60.0,80.0,70.0,65.0,60
32230,5,15.0,10,10.0,0,2.0,10.0,19.0,45.0,10
32231,100,100.0,100,100.0,100,100.0,100.0,100.0,100.0,100
32232,85,70.0,85,90.0,85,65.0,100.0,95.0,75.0,100
32233,75,60.0,80,65.0,88,70.0,100.0,76.0,70.0,85
32234,90,50.0,60,,85,90.0,100.0,100.0,100.0,100
32235,100,100.0,100,100.0,100,100.0,100.0,100.0,100.0,100
32236,25,20.0,30,25.0,20,25.0,30.0,30.0,20.0,30
32237,100,80.0,100,100.0,100,100.0,100.0,100.0,100.0,95
32238,100,100.0,100,100.0,100,100.0,80.0,100.0,100.0,100
32239,85,100.0,100,85.0,100,100.0,80.0,88890.0,100.0,100
32240,100,,75,100.0,80,70.0,100.0,100.0,98.0,100
32241,70,85.0,85,80.0,90,,85.0,91.0,85.0,80
32242,80,70.0,70,100.0,70,65.0,50.0,,80.0,80
32243,0,10.0,20,20.0,10,30.0,25.0,20.0,10.0,10
32244,90,100.0,100,100.0,100,100.0,100.0,100.0,100.0,100
32245,20,20.0,30,25.0,30,30.0,25.0,30.0,10.0,30
32246,95,85.0,100,90.0,90,70.0,70.0,80.0,90.0,100
32247,20,25.0,20,30.0,30,25.0,30.0,5.0,20.0,30
32248,40,80.0,25,57.0,30,20.0,70.0,45.0,25.0,20
32249,10,0.0,15,10.0,0,10.0,1.0,5.0,0.0,0
32250,100,100.0,100,100.0,100,100.0,100.0,100.0,100.0,100
32251,100,75.0,75,80.0,85,100.0,80.0,80.0,90.0,90
32252,20,25.0,50,40.0,45,75.0,50.0,25.0,45.0,30
32253,92,80.0,90,100.0,90,100.0,90.0,100.0,95.0,100
32254,100,90.0,100,90.0,100,100.0,90.0,100.0,85.0,80
32255,85,80.0,100,80.0,100,100.0,85.0,80.0,90.0,100
32256,85,90.0,100,90.0,100,100.0,100.0,94.0,90.0,90
32257,100,100.0,85,95.0,100,90.0,100.0,100.0,100.0,100
32258,80,100.0,70,80.0,100,75.0,70.0,70.0,100.0,90
32259,80,80.0,70,70.0,75,90.0,80.0,70.0,80.0,85
32260,90,90.0,90,90.0,90,80.0,85.0,70.0,80.0,90
32261,0,35.0,32,30.0,30,60.0,10.0,15.0,10.0,0
32262,100,100.0,100,100.0,100,80.0,100.0,100.0,100.0,100
32263,60,80.0,100,0.0,80,72.0,77.0,70.0,40.0,70
32264,10,10.0,10,10.0,10,10.0,15.0,5.0,20.0,10
32265,35,20.0,15,10.0,10,25.0,20.0,15.0,30.0,30
32266,10,0.0,0,0.0,0,0.0,,0.0,0.0,0
32267,89,55.0,90,87.0,80,80.0,85.0,90.0,80.0,80
32268,10,20.0,10,0.0,0,15.0,10.0,10.0,20.0,10
32269,100,90.0,75,100.0,76,70.0,85.0,75.0,,85
32270,30,20.0,30,15.0,20,30.0,20.0,20.0,30.0,30
32271,100,100.0,100,100.0,100,83.0,100.0,100.0,100.0,100
32272,15,20.0,0,0.0,10,5.0,0.0,10.0,30.0,0
32273,50,60.0,40,25.0,60,60.0,75.0,40.0,85.0,90
32274,10,30.0,20,20.0,45,30.0,30.0,20.0,5.0,30
32275,40,30.0,25,20.0,20,20.0,25.0,30.0,45.0,35
32276,100,90.0,90,90.0,95,90.0,94.0,90.0,95.0,100
32277,0,20.0,40,20.0,30,30.0,30.0,30.0,20.0,30
32278,70,75.0,70,70.0,60,70.0,80.0,75.0,70.0,70
32279,10,10.0,5,10.0,15,10.0,18.0,20.0,15.0,10
32280,90,90.0,90,90.0,90,95.0,95.0,90.0,90.0,90
32281,100,100.0,85,100.0,100,80.0,100.0,100.0,100.0,90
32282,90,95.0,100,90.0,85,90.0,100.0,100.0,90.0,80
32283,60,70.0,50,85.0,50,100.0,70.0,50.0,70.0,80
32284,90,90.0,85,100.0,85,100.0,85.0,80.0,80.0,85
32285,5,30.0,10,20.0,25,20.0,18.0,20.0,40.0,20
32286,60,45.0,50,40.0,42,30.0,50.0,40.0,20.0,60
32287,10,30.0,30,25.0,20,30.0,20.0,20.0,30.0,10
32288,80,80.0,70,90.0,100,90.0,75.0,93.0,100.0,80
